request_id,flow,flow_name,size_bytes,push_cycle,pop_cycle,delay_cycles,dropped
1,1,A,115,0,20,20,false
2,2,B,121,0,25,25,false
3,1,A,158,5,29,24,false
4,2,B,130,5,32,27,false
5,1,A,145,10,36,26,false
6,2,B,130,10,41,31,false
7,1,A,136,15,44,29,false
8,2,B,156,15,48,33,false
9,1,A,113,20,51,31,false
10,2,B,105,20,55,35,false
11,1,A,154,25,58,33,false
12,2,B,99,25,62,37,false
13,1,A,113,30,65,35,false
14,2,B,127,30,69,39,false
15,1,A,130,35,72,37,false
16,2,B,168,35,76,41,false
17,1,A,115,40,79,39,false
18,2,B,166,40,83,43,false
19,1,A,138,46,86,40,false
20,2,B,110,46,90,44,false
21,1,A,122,51,93,42,false
22,2,B,109,51,97,46,false
23,1,A,134,56,100,44,false
24,2,B,102,56,104,48,false
25,1,A,165,61,107,46,false
26,2,B,124,61,111,50,false
27,1,A,93,66,114,48,false
28,2,B,173,66,118,52,false
29,1,A,185,71,121,50,false
30,2,B,71,71,125,54,false
31,1,A,163,76,128,52,false
32,2,B,111,76,132,56,false
33,1,A,116,81,135,54,false
34,2,B,98,81,139,58,false
35,1,A,192,86,142,56,false
36,2,B,180,86,146,60,false
37,1,A,138,90,149,59,false
38,2,B,116,90,153,63,false
39,1,A,149,95,156,61,false
40,2,B,158,95,160,65,false
41,1,A,157,99,163,64,false
42,2,B,124,99,167,68,false
43,1,A,107,104,170,66,false
44,2,B,110,104,174,70,false
45,1,A,104,109,177,68,false
46,2,B,134,109,181,72,false
47,1,A,78,113,184,71,false
48,2,B,129,113,188,75,false
49,1,A,124,118,191,73,false
50,2,B,118,118,195,77,false
51,1,A,107,124,198,74,false
52,2,B,121,124,202,78,false
53,1,A,157,129,205,76,false
54,2,B,173,129,209,80,false
55,1,A,148,134,212,78,false
56,2,B,169,134,216,82,false
57,1,A,129,139,219,80,false
58,2,B,104,139,223,84,false
59,1,A,144,144,226,82,false
60,2,B,158,144,230,86,false
61,1,A,90,148,233,85,false
62,2,B,123,148,237,89,false
63,1,A,109,153,240,87,false
64,2,B,181,153,244,91,false
65,1,A,158,158,247,89,false
66,2,B,136,158,251,93,false
67,1,A,129,163,254,91,false
68,2,B,125,163,258,95,false
69,1,A,140,168,261,93,false
70,2,B,158,168,265,97,false
71,1,A,134,174,268,94,false
72,2,B,100,174,272,98,false
73,1,A,123,179,275,96,false
74,2,B,139,179,279,100,false
75,1,A,161,183,282,99,false
76,2,B,142,183,286,103,false
77,1,A,120,188,289,101,false
78,2,B,170,188,293,105,false
79,1,A,145,193,296,103,false
80,2,B,123,193,300,107,false
81,1,A,170,198,303,105,false
82,2,B,152,198,307,109,false
83,1,A,134,203,310,107,false
84,2,B,171,203,314,111,false
85,1,A,84,208,317,109,false
86,2,B,139,208,321,113,false
87,1,A,159,212,324,112,false
88,2,B,106,212,328,116,false
89,1,A,134,217,331,114,false
90,2,B,106,217,335,118,false
91,1,A,111,222,338,116,false
92,2,B,126,222,342,120,false
93,1,A,139,226,345,119,false
94,2,B,124,226,349,123,false
95,1,A,93,231,352,121,false
96,2,B,107,231,356,125,false
97,1,A,177,235,359,124,false
98,2,B,142,235,363,128,false
99,1,A,108,240,366,126,false
100,2,B,114,240,370,130,false
101,1,A,137,245,373,128,false
102,2,B,128,245,377,132,false
103,1,A,114,249,380,131,false
104,2,B,114,249,384,135,false
105,1,A,75,254,387,133,false
106,2,B,156,254,391,137,false
107,1,A,144,259,394,135,false
108,2,B,140,259,398,139,false
109,1,A,141,264,401,137,false
110,2,B,126,264,405,141,false
111,1,A,96,269,408,139,false
112,2,B,121,269,412,143,false
113,1,A,172,274,415,141,false
114,2,B,122,274,419,145,false
115,1,A,149,279,422,143,false
116,2,B,144,279,426,147,false
117,1,A,161,284,429,145,false
118,2,B,105,284,433,149,false
119,1,A,183,288,436,148,false
120,2,B,161,288,440,152,false
121,1,A,142,293,443,150,false
122,2,B,110,293,447,154,false
123,1,A,97,297,450,153,false
124,2,B,151,297,454,157,false
125,1,A,128,302,457,155,false
126,2,B,98,302,461,159,false
127,1,A,112,307,464,157,false
128,2,B,163,307,468,161,false
129,1,A,89,311,471,160,false
130,2,B,149,311,475,164,false
131,1,A,141,316,478,162,false
132,2,B,137,316,482,166,false
133,1,A,138,321,485,164,false
134,2,B,131,321,489,168,false
135,1,A,155,325,492,167,false
136,2,B,106,325,496,171,false
137,1,A,115,329,499,170,false
138,2,B,147,329,503,174,false
139,1,A,152,334,506,172,false
140,2,B,132,334,510,176,false
141,1,A,137,339,513,174,false
142,2,B,125,339,517,178,false
143,1,A,88,344,520,176,false
144,2,B,78,344,524,180,false
145,1,A,71,349,527,178,false
146,2,B,94,349,531,182,false
147,1,A,127,353,534,181,false
148,2,B,138,353,538,185,false
149,1,A,137,358,541,183,false
150,2,B,125,358,545,187,false
151,1,A,105,362,548,186,false
152,2,B,110,362,552,190,false
153,1,A,150,367,555,188,false
154,2,B,97,367,559,192,false
155,1,A,128,372,562,190,false
156,2,B,135,372,566,194,false
157,1,A,156,376,569,193,false
158,2,B,120,376,573,197,false
159,1,A,119,382,576,194,false
160,2,B,115,382,580,198,false
161,1,A,101,387,583,196,false
162,2,B,139,387,587,200,false
163,1,A,114,392,590,198,false
164,2,B,167,392,594,202,false
165,1,A,120,397,597,200,false
166,2,B,100,397,601,204,false
167,1,A,115,403,604,201,false
168,2,B,110,403,608,205,false
169,1,A,144,407,611,204,false
170,2,B,118,407,615,208,false
171,1,A,126,413,618,205,false
172,2,B,104,413,622,209,false
173,1,A,111,418,625,207,false
174,2,B,126,418,629,211,false
175,1,A,93,423,632,209,false
176,2,B,125,423,636,213,false
177,1,A,166,427,639,212,false
178,2,B,112,427,643,216,false
179,1,A,118,432,646,214,false
180,2,B,115,432,650,218,false
181,1,A,118,437,653,216,false
182,2,B,133,437,657,220,false
183,1,A,121,442,660,218,false
184,2,B,145,442,664,222,false
185,1,A,138,446,667,221,false
186,2,B,119,446,671,225,false
187,1,A,102,451,674,223,false
188,2,B,97,451,678,227,false
189,1,A,127,455,681,226,false
190,2,B,159,455,685,230,false
191,1,A,122,460,688,228,false
192,2,B,111,460,692,232,false
193,1,A,125,465,695,230,false
194,2,B,145,465,699,234,false
195,1,A,160,470,702,232,false
196,2,B,145,470,706,236,false
197,1,A,102,474,709,235,false
198,2,B,105,474,713,239,false
199,1,A,163,478,716,238,false
200,2,B,133,478,720,242,false
201,1,A,165,484,723,239,false
202,2,B,84,484,727,243,false
203,1,A,142,489,730,241,false
204,2,B,112,489,734,245,false
205,1,A,108,494,737,243,false
206,2,B,107,494,741,247,false
207,1,A,163,499,744,245,false
208,2,B,129,499,748,249,false
209,1,A,144,504,751,247,false
210,2,B,101,504,755,251,false
211,1,A,137,509,758,249,false
212,2,B,95,509,762,253,false
213,1,A,120,514,765,251,false
214,2,B,134,514,769,255,false
215,1,A,137,519,772,253,false
216,2,B,162,519,776,257,false
217,1,A,140,524,779,255,false
218,2,B,146,524,783,259,false
219,1,A,141,529,786,257,false
220,2,B,146,529,790,261,false
221,1,A,155,534,793,259,false
222,2,B,128,534,797,263,false
223,1,A,101,538,800,262,false
224,2,B,160,538,804,266,false
225,1,A,115,542,807,265,false
226,2,B,158,542,811,269,false
227,1,A,156,547,814,267,false
228,2,B,106,547,818,271,false
229,1,A,130,552,821,269,false
230,2,B,150,552,825,273,false
231,1,A,146,556,828,272,false
232,2,B,134,556,832,276,false
233,1,A,123,562,835,273,false
234,2,B,137,562,839,277,false
235,1,A,145,566,842,276,false
236,2,B,132,566,846,280,false
237,1,A,109,570,849,279,false
238,2,B,130,570,853,283,false
239,1,A,143,575,856,281,false
240,2,B,151,575,860,285,false
241,1,A,104,579,863,284,false
242,2,B,97,579,867,288,false
243,1,A,138,584,870,286,false
244,2,B,131,584,874,290,false
245,1,A,124,589,877,288,false
246,2,B,95,589,881,292,false
247,1,A,165,594,884,290,false
248,2,B,121,594,888,294,false
249,1,A,104,599,891,292,false
250,2,B,104,599,895,296,false
251,1,A,104,604,898,294,false
252,2,B,131,604,902,298,false
253,1,A,164,610,906,296,false
254,2,B,141,610,1305,695,false
255,1,A,118,615,909,294,false
256,2,B,98,615,1308,693,false
257,1,A,94,620,913,293,false
258,2,B,149,620,1312,692,false
259,1,A,114,625,916,291,false
260,2,B,146,625,1315,690,false
261,1,A,87,631,920,289,false
262,2,B,103,631,1319,688,false
263,1,A,180,636,923,287,false
264,2,B,106,636,1322,686,false
265,1,A,139,642,927,285,false
266,2,B,161,642,1326,684,false
267,1,A,96,647,930,283,false
268,2,B,173,647,1329,682,false
269,1,A,96,652,934,282,false
270,2,B,101,652,1333,681,false
271,1,A,105,657,937,280,false
272,2,B,158,657,1336,679,false
273,1,A,129,662,941,279,false
274,2,B,117,662,1340,678,false
275,1,A,127,666,944,278,false
276,2,B,122,666,1343,677,false
277,1,A,92,672,948,276,false
278,2,B,155,672,1347,675,false
279,1,A,147,677,951,274,false
280,2,B,109,677,1350,673,false
281,1,A,149,682,955,273,false
282,2,B,127,682,1354,672,false
283,1,A,176,687,958,271,false
284,2,B,148,687,1357,670,false
285,1,A,160,692,962,270,false
286,2,B,109,692,1361,669,false
287,1,A,148,696,965,269,false
288,2,B,128,696,1364,668,false
289,1,A,131,700,969,269,false
290,2,B,167,700,1368,668,false
291,1,A,115,705,972,267,false
292,2,B,119,705,1371,666,false
293,1,A,164,710,976,266,false
294,2,B,150,710,1375,665,false
295,1,A,118,715,979,264,false
296,2,B,112,715,1378,663,false
297,1,A,145,721,983,262,false
298,2,B,168,721,1382,661,false
299,1,A,104,726,986,260,false
300,2,B,110,726,1385,659,false
301,1,A,139,731,990,259,false
302,2,B,150,731,1389,658,false
303,1,A,110,735,993,258,false
304,2,B,164,735,1392,657,false
305,1,A,146,741,997,256,false
306,2,B,148,741,1396,655,false
307,1,A,94,746,1000,254,false
308,2,B,125,746,1399,653,false
309,1,A,139,750,1004,254,false
310,2,B,132,750,1403,653,false
311,1,A,110,755,1007,252,false
312,2,B,100,755,1406,651,false
313,1,A,120,760,1011,251,false
314,2,B,113,760,1410,650,false
315,1,A,92,765,1014,249,false
316,2,B,100,765,1413,648,false
317,1,A,89,771,1018,247,false
318,2,B,115,771,1417,646,false
319,1,A,136,775,1021,246,false
320,2,B,151,775,1420,645,false
321,1,A,96,779,1025,246,false
322,2,B,146,779,1424,645,false
323,1,A,107,784,1028,244,false
324,2,B,143,784,1427,643,false
325,1,A,100,788,1032,244,false
326,2,B,127,788,1431,643,false
327,1,A,140,793,1035,242,false
328,2,B,131,793,1434,641,false
329,1,A,131,798,1039,241,false
330,2,B,98,798,1438,640,false
331,1,A,112,804,1042,238,false
332,2,B,104,804,1441,637,false
333,1,A,99,808,1046,238,false
334,2,B,151,808,1445,637,false
335,1,A,162,813,1049,236,false
336,2,B,121,813,1448,635,false
337,1,A,185,817,1053,236,false
338,2,B,109,817,1452,635,false
339,1,A,136,822,1056,234,false
340,2,B,103,822,1455,633,false
341,1,A,161,827,1060,233,false
342,2,B,125,827,1459,632,false
343,1,A,138,832,1063,231,false
344,2,B,123,832,1462,630,false
345,1,A,104,836,1067,231,false
346,2,B,103,836,1466,630,false
347,1,A,75,840,1070,230,false
348,2,B,89,840,1469,629,false
349,1,A,110,845,1074,229,false
350,2,B,97,845,1473,628,false
351,1,A,147,849,1077,228,false
352,2,B,121,849,1476,627,false
353,1,A,145,853,1081,228,false
354,2,B,81,853,1480,627,false
355,1,A,123,859,1084,225,false
356,2,B,146,859,1483,624,false
357,1,A,152,863,1088,225,false
358,2,B,110,863,1487,624,false
359,1,A,119,868,1091,223,false
360,2,B,127,868,1490,622,false
361,1,A,140,874,1095,221,false
362,2,B,104,874,1494,620,false
363,1,A,143,879,1098,219,false
364,2,B,113,879,1497,618,false
365,1,A,115,884,1102,218,false
366,2,B,148,884,1501,617,false
367,1,A,104,889,1105,216,false
368,2,B,115,889,1504,615,false
369,1,A,174,894,1109,215,false
370,2,B,106,894,1508,614,false
371,1,A,126,898,1112,214,false
372,2,B,191,898,1511,613,false
373,1,A,149,903,1116,213,false
374,2,B,76,903,1515,612,false
375,1,A,127,907,1119,212,false
376,2,B,91,907,1518,611,false
377,1,A,118,911,1123,212,false
378,2,B,118,911,1522,611,false
379,1,A,121,916,1126,210,false
380,2,B,147,916,1525,609,false
381,1,A,125,921,1130,209,false
382,2,B,140,921,1529,608,false
383,1,A,154,926,1133,207,false
384,2,B,116,926,1532,606,false
385,1,A,132,931,1137,206,false
386,2,B,162,931,1536,605,false
387,1,A,151,936,1140,204,false
388,2,B,156,936,1539,603,false
389,1,A,134,941,1144,203,false
390,2,B,134,941,1543,602,false
391,1,A,129,946,1147,201,false
392,2,B,112,946,1546,600,false
393,1,A,139,950,1151,201,false
394,2,B,128,950,1550,600,false
395,1,A,108,955,1154,199,false
396,2,B,98,955,1553,598,false
397,1,A,134,959,1158,199,false
398,2,B,97,959,1557,598,false
399,1,A,150,964,1161,197,false
400,2,B,118,964,1560,596,false
401,1,A,112,968,1165,197,false
402,2,B,132,968,1564,596,false
403,1,A,116,974,1168,194,false
404,2,B,146,974,1567,593,false
405,1,A,130,978,1172,194,false
406,2,B,167,978,1571,593,false
407,1,A,144,983,1175,192,false
408,2,B,110,983,1574,591,false
409,1,A,132,987,1179,192,false
410,2,B,150,987,1578,591,false
411,1,A,145,991,1182,191,false
