request_id,flow,size_bytes,push_cycle,pop_cycle,dropped
1,1,115,0,20,false
2,2,121,0,25,false
3,1,158,5,29,false
4,2,130,5,32,false
5,1,145,10,36,false
6,2,130,10,41,false
7,1,136,15,44,false
8,2,156,15,48,false
9,1,113,20,51,false
10,2,105,20,55,false
11,1,154,25,58,false
12,2,99,25,62,false
13,1,113,30,65,false
14,2,127,30,69,false
15,1,130,35,72,false
16,2,168,35,76,false
17,1,115,40,79,false
18,2,166,40,83,false
19,1,138,46,86,false
20,2,110,46,90,false
21,1,122,51,93,false
22,2,109,51,97,false
23,1,134,56,100,false
24,2,102,56,104,false
25,1,165,61,107,false
26,2,124,61,111,false
27,1,93,66,114,false
28,2,173,66,118,false
29,1,185,71,121,false
30,2,71,71,125,false
31,1,163,76,128,false
32,2,111,76,132,false
33,1,116,81,135,false
34,2,98,81,139,false
35,1,192,86,142,false
36,2,180,86,146,false
37,1,138,90,149,false
38,2,116,90,153,false
39,1,149,95,156,false
40,2,158,95,160,false
41,1,157,99,163,false
42,2,124,99,167,false
43,1,107,104,170,false
44,2,110,104,174,false
45,1,104,109,177,false
46,2,134,109,181,false
47,1,78,113,184,false
48,2,129,113,188,false
49,1,124,118,191,false
50,2,118,118,195,false
51,1,107,124,198,false
52,2,121,124,202,false
53,1,157,129,205,false
54,2,173,129,209,false
55,1,148,134,212,false
56,2,169,134,216,false
57,1,129,139,219,false
58,2,104,139,223,false
59,1,144,144,226,false
60,2,158,144,230,false
61,1,90,148,233,false
62,2,123,148,237,false
63,1,109,153,240,false
64,2,181,153,244,false
65,1,158,158,247,false
66,2,136,158,251,false
67,1,129,163,254,false
68,2,125,163,258,false
69,1,140,168,261,false
70,2,158,168,265,false
71,1,134,174,268,false
72,2,100,174,272,false
73,1,123,179,275,false
74,2,139,179,279,false
75,1,161,183,282,false
76,2,142,183,286,false
77,1,120,188,289,false
78,2,170,188,293,false
79,1,145,193,296,false
80,2,123,193,300,false
81,1,170,198,303,false
82,2,152,198,307,false
83,1,134,203,310,false
84,2,171,203,314,false
85,1,84,208,317,false
86,2,139,208,321,false
87,1,159,212,324,false
88,2,106,212,328,false
89,1,134,217,331,false
90,2,106,217,335,false
91,1,111,222,338,false
92,2,126,222,342,false
93,1,139,226,345,false
94,2,124,226,349,false
95,1,93,231,352,false
96,2,107,231,356,false
97,1,177,235,359,false
98,2,142,235,363,false
99,1,108,240,366,false
100,2,114,240,370,false
101,1,137,245,373,false
102,2,128,245,377,false
103,1,114,249,380,false
104,2,114,249,384,false
105,1,75,254,387,false
