cycle,request_id,global_flow_id,size_bytes
0,1,1,115
0,2,2,121
5,3,1,158
5,4,2,130
10,5,1,145
10,6,2,130
15,7,1,136
15,8,2,156
20,9,1,113
20,10,2,105
25,11,1,154
25,12,2,99
30,13,1,113
30,14,2,127
35,15,1,130
35,16,2,168
40,17,1,115
40,18,2,166
46,19,1,138
46,20,2,110
51,21,1,122
51,22,2,109
56,23,1,134
56,24,2,102
61,25,1,165
61,26,2,124
66,27,1,93
66,28,2,173
71,29,1,185
71,30,2,71
76,31,1,163
76,32,2,111
81,33,1,116
81,34,2,98
86,35,1,192
86,36,2,180
90,37,1,138
90,38,2,116
95,39,1,149
95,40,2,158
99,41,1,157
99,42,2,124
104,43,1,107
104,44,2,110
109,45,1,104
109,46,2,134
113,47,1,78
113,48,2,129
118,49,1,124
118,50,2,118
124,51,1,107
124,52,2,121
129,53,1,157
129,54,2,173
134,55,1,148
134,56,2,169
139,57,1,129
139,58,2,104
144,59,1,144
144,60,2,158
148,61,1,90
148,62,2,123
153,63,1,109
153,64,2,181
158,65,1,158
158,66,2,136
163,67,1,129
163,68,2,125
168,69,1,140
168,70,2,158
174,71,1,134
174,72,2,100
179,73,1,123
179,74,2,139
183,75,1,161
183,76,2,142
188,77,1,120
188,78,2,170
193,79,1,145
193,80,2,123
198,81,1,170
198,82,2,152
203,83,1,134
203,84,2,171
208,85,1,84
208,86,2,139
212,87,1,159
212,88,2,106
217,89,1,134
217,90,2,106
222,91,1,111
222,92,2,126
226,93,1,139
226,94,2,124
231,95,1,93
231,96,2,107
235,97,1,177
235,98,2,142
240,99,1,108
240,100,2,114
245,101,1,137
245,102,2,128
249,103,1,114
249,104,2,114
254,105,1,75
254,106,2,156
259,107,1,144
259,108,2,140
264,109,1,141
264,110,2,126
269,111,1,96
269,112,2,121
274,113,1,172
274,114,2,122
279,115,1,149
279,116,2,144
284,117,1,161
284,118,2,105
288,119,1,183
288,120,2,161
293,121,1,142
293,122,2,110
297,123,1,97
297,124,2,151
302,125,1,128
302,126,2,98
307,127,1,112
307,128,2,163
311,129,1,89
311,130,2,149
316,131,1,141
316,132,2,137
321,133,1,138
321,134,2,131
325,135,1,155
325,136,2,106
329,137,1,115
329,138,2,147
334,139,1,152
334,140,2,132
339,141,1,137
339,142,2,125
344,143,1,88
344,144,2,78
349,145,1,71
349,146,2,94
353,147,1,127
353,148,2,138
358,149,1,137
358,150,2,125
362,151,1,105
362,152,2,110
367,153,1,150
367,154,2,97
372,155,1,128
372,156,2,135
376,157,1,156
376,158,2,120
382,159,1,119
382,160,2,115
387,161,1,101
387,162,2,139
392,163,1,114
392,164,2,167
397,165,1,120
397,166,2,100
403,167,1,115
403,168,2,110
407,169,1,144
407,170,2,118
413,171,1,126
413,172,2,104
418,173,1,111
418,174,2,126
423,175,1,93
423,176,2,125
427,177,1,166
427,178,2,112
432,179,1,118
432,180,2,115
437,181,1,118
437,182,2,133
442,183,1,121
442,184,2,145
446,185,1,138
446,186,2,119
451,187,1,102
451,188,2,97
455,189,1,127
455,190,2,159
460,191,1,122
460,192,2,111
465,193,1,125
465,194,2,145
470,195,1,160
470,196,2,145
474,197,1,102
474,198,2,105
478,199,1,163
478,200,2,133
484,201,1,165
484,202,2,84
489,203,1,142
489,204,2,112
494,205,1,108
494,206,2,107
499,207,1,163
499,208,2,129
504,209,1,144
504,210,2,101
509,211,1,137
509,212,2,95
514,213,1,120
514,214,2,134
519,215,1,137
519,216,2,162
524,217,1,140
524,218,2,146
529,219,1,141
529,220,2,146
534,221,1,155
534,222,2,128
538,223,1,101
538,224,2,160
542,225,1,115
542,226,2,158
547,227,1,156
547,228,2,106
552,229,1,130
552,230,2,150
556,231,1,146
556,232,2,134
562,233,1,123
562,234,2,137
566,235,1,145
566,236,2,132
570,237,1,109
570,238,2,130
575,239,1,143
575,240,2,151
579,241,1,104
579,242,2,97
584,243,1,138
584,244,2,131
589,245,1,124
589,246,2,95
594,247,1,165
594,248,2,121
599,249,1,104
599,250,2,104
604,251,1,104
604,252,2,131
610,253,1,164
610,254,2,141
615,255,1,118
615,256,2,98
620,257,1,94
620,258,2,149
625,259,1,114
625,260,2,146
631,261,1,87
631,262,2,103
636,263,1,180
636,264,2,106
642,265,1,139
642,266,2,161
647,267,1,96
647,268,2,173
652,269,1,96
652,270,2,101
657,271,1,105
657,272,2,158
662,273,1,129
662,274,2,117
666,275,1,127
666,276,2,122
672,277,1,92
672,278,2,155
677,279,1,147
677,280,2,109
682,281,1,149
682,282,2,127
687,283,1,176
687,284,2,148
692,285,1,160
692,286,2,109
696,287,1,148
696,288,2,128
700,289,1,131
700,290,2,167
705,291,1,115
705,292,2,119
710,293,1,164
710,294,2,150
715,295,1,118
715,296,2,112
721,297,1,145
721,298,2,168
726,299,1,104
726,300,2,110
731,301,1,139
731,302,2,150
735,303,1,110
735,304,2,164
741,305,1,146
741,306,2,148
746,307,1,94
746,308,2,125
750,309,1,139
750,310,2,132
755,311,1,110
755,312,2,100
760,313,1,120
760,314,2,113
765,315,1,92
765,316,2,100
771,317,1,89
771,318,2,115
775,319,1,136
775,320,2,151
779,321,1,96
779,322,2,146
784,323,1,107
784,324,2,143
788,325,1,100
788,326,2,127
793,327,1,140
793,328,2,131
798,329,1,131
798,330,2,98
804,331,1,112
804,332,2,104
808,333,1,99
808,334,2,151
813,335,1,162
813,336,2,121
817,337,1,185
817,338,2,109
822,339,1,136
822,340,2,103
827,341,1,161
827,342,2,125
832,343,1,138
832,344,2,123
836,345,1,104
836,346,2,103
840,347,1,75
840,348,2,89
845,349,1,110
845,350,2,97
849,351,1,147
849,352,2,121
853,353,1,145
853,354,2,81
859,355,1,123
859,356,2,146
863,357,1,152
863,358,2,110
868,359,1,119
868,360,2,127
874,361,1,140
874,362,2,104
879,363,1,143
879,364,2,113
884,365,1,115
884,366,2,148
889,367,1,104
889,368,2,115
894,369,1,174
894,370,2,106
898,371,1,126
898,372,2,191
903,373,1,149
903,374,2,76
907,375,1,127
907,376,2,91
911,377,1,118
911,378,2,118
916,379,1,121
916,380,2,147
921,381,1,125
921,382,2,140
926,383,1,154
926,384,2,116
931,385,1,132
931,386,2,162
936,387,1,151
936,388,2,156
941,389,1,134
941,390,2,134
946,391,1,129
946,392,2,112
950,393,1,139
950,394,2,128
955,395,1,108
955,396,2,98
959,397,1,134
959,398,2,97
964,399,1,150
964,400,2,118
968,401,1,112
968,402,2,132
974,403,1,116
974,404,2,146
978,405,1,130
978,406,2,167
983,407,1,144
983,408,2,110
987,409,1,132
987,410,2,150
991,411,1,145
991,412,2,109
996,413,1,125
996,414,2,126
1001,415,1,122
1001,416,2,69
1006,417,1,144
1006,418,2,141
1011,419,1,150
1011,420,2,129
1015,421,1,111
1015,422,2,123
1019,423,1,109
1019,424,2,103
1024,425,1,131
1024,426,2,106
1029,427,1,113
1029,428,2,108
1033,429,1,151
1033,430,2,127
1038,431,1,87
1038,432,2,105
1043,433,1,144
1043,434,2,148
1048,435,1,127
1048,436,2,95
1054,437,1,107
1054,438,2,123
1058,439,1,136
1058,440,2,165
1062,441,1,125
1062,442,2,136
1068,443,1,132
1068,444,2,91
1072,445,1,122
1072,446,2,145
1076,447,1,81
1076,448,2,148
1081,449,1,130
1081,450,2,88
1086,451,1,172
1086,452,2,142
1090,453,1,129
1090,454,2,139
1096,455,1,151
1096,456,2,135
1101,457,1,134
1101,458,2,117
1106,459,1,130
1106,460,2,118
1110,461,1,109
1110,462,2,132
1115,463,1,152
1115,464,2,125
1119,465,1,98
1119,466,2,145
1124,467,1,131
1124,468,2,134
1128,469,1,176
1128,470,2,152
1133,471,1,145
1133,472,2,102
1138,473,1,96
1138,474,2,134
1143,475,1,88
1143,476,2,122
1148,477,1,140
1148,478,2,82
1153,479,1,133
1153,480,2,130
