request_id,flow,flow_name,size_bytes,push_cycle,pop_cycle,delay_cycles,dropped
1,1,A,,0,9,9,false
2,2,B,,0,21,21,false
3,1,A,,9,33,24,false
4,2,B,,9,47,38,false
5,1,A,,18,59,41,false
6,2,B,,18,71,53,false
7,1,A,,25,83,58,false
8,2,B,,25,95,70,false
9,1,A,,35,109,74,false
10,2,B,,35,121,86,false
11,1,A,,43,133,90,false
12,2,B,,43,147,104,false
13,1,A,,51,157,106,false
14,2,B,,51,169,118,false
15,1,A,,61,181,120,false
16,2,B,,61,193,132,false
17,1,A,,69,207,138,false
18,2,B,,69,219,150,false
19,1,A,,79,233,154,false
20,2,B,,79,245,166,false
21,1,A,,87,257,170,false
22,2,B,,87,269,182,false
23,1,A,,97,281,184,false
24,2,B,,97,293,196,false
25,1,A,,106,303,197,false
26,2,B,,106,317,211,false
27,1,A,,115,329,214,false
28,2,B,,115,340,225,false
29,1,A,,122,353,231,false
30,2,B,,122,367,245,false
31,1,A,,131,376,245,false
32,2,B,,131,389,258,false
33,1,A,,140,400,260,false
34,2,B,,140,411,271,false
35,1,A,,148,421,273,false
36,2,B,,148,435,287,false
37,1,A,,155,449,294,false
38,2,B,,155,461,306,false
39,1,A,,162,472,310,false
40,2,B,,162,484,322,false
41,1,A,,171,497,326,false
42,2,B,,171,510,339,false
43,1,A,,177,521,344,false
44,2,B,,177,532,355,false
45,1,A,,187,543,356,false
46,2,B,,187,553,366,false
47,1,A,,194,565,371,false
48,2,B,,194,574,380,false
49,1,A,,203,586,383,false
50,2,B,,203,597,394,false
51,1,A,,212,608,396,false
52,2,B,,212,619,407,false
53,1,A,,222,630,408,false
54,2,B,,222,643,421,false
55,1,A,,230,656,426,false
56,2,B,,230,668,438,false
57,1,A,,237,681,444,false
58,2,B,,237,693,456,false
59,1,A,,247,704,457,false
60,2,B,,247,716,469,false
61,1,A,,254,729,475,false
62,2,B,,254,739,485,false
63,1,A,,262,750,488,false
64,2,B,,262,761,499,false
65,1,A,,270,775,505,false
66,2,B,,270,788,518,false
67,1,A,,278,800,522,false
68,2,B,,278,812,534,false
69,1,A,,288,823,535,false
70,2,B,,288,835,547,false
71,1,A,,298,848,550,false
72,2,B,,298,860,562,false
73,1,A,,307,870,563,false
74,2,B,,307,881,574,false
75,1,A,,314,893,579,false
76,2,B,,314,906,592,false
77,1,A,,322,918,596,false
78,2,B,,322,929,607,false
79,1,A,,331,946,615,false
80,2,B,,331,1585,1254,false
81,1,A,,339,962,623,false
82,2,B,,339,1600,1261,false
83,1,A,,347,979,632,false
84,2,B,,347,1616,1269,false
85,1,A,,356,995,639,false
86,2,B,,356,1633,1277,false
87,1,A,,363,1009,646,false
88,2,B,,363,1649,1286,false
89,1,A,,370,1026,656,false
90,2,B,,370,1664,1294,false
91,1,A,,379,1042,663,false
92,2,B,,379,1679,1300,false
93,1,A,,387,1057,670,false
94,2,B,,387,1694,1307,false
95,1,A,,395,1073,678,false
96,2,B,,395,1709,1314,false
97,1,A,,402,1087,685,false
98,2,B,,402,1724,1322,false
99,1,A,,409,1105,696,false
100,2,B,,409,1740,1331,false
101,1,A,,418,1120,702,false
102,2,B,,418,1755,1337,false
103,1,A,,424,1136,712,false
104,2,B,,424,1770,1346,false
105,1,A,,434,1151,717,false
106,2,B,,434,1785,1351,false
107,1,A,,442,1164,722,false
108,2,B,,442,1802,1360,false
109,1,A,,449,1180,731,false
110,2,B,,449,1818,1369,false
111,1,A,,459,1196,737,false
112,2,B,,459,1833,1374,false
113,1,A,,467,1210,743,false
114,2,B,,467,1848,1381,false
115,1,A,,477,1227,750,false
116,2,B,,477,1863,1386,false
117,1,A,,484,1243,759,false
118,2,B,,484,1879,1395,false
119,1,A,,491,1260,769,false
120,2,B,,491,1894,1403,false
121,1,A,,499,1278,779,false
122,2,B,,499,1911,1412,false
123,1,A,,506,1294,788,false
124,2,B,,506,1926,1420,false
125,1,A,,515,1308,793,false
126,2,B,,515,1942,1427,false
127,1,A,,522,1323,801,false
128,2,B,,522,1956,1434,false
129,1,A,,530,1338,808,false
130,2,B,,530,1973,1443,false
131,1,A,,538,1352,814,false
132,2,B,,538,1989,1451,false
133,1,A,,546,1368,822,false
134,2,B,,546,2005,1459,false
135,1,A,,553,1384,831,false
136,2,B,,553,2021,1468,false
137,1,A,,560,1401,841,false
138,2,B,,560,2036,1476,false
139,1,A,,568,1416,848,false
140,2,B,,568,2052,1484,false
141,1,A,,575,1433,858,false
142,2,B,,575,2068,1493,false
143,1,A,,585,1449,864,false
144,2,B,,585,2083,1498,false
145,1,A,,592,1463,871,false
146,2,B,,592,2096,1504,false
147,1,A,,600,1476,876,false
148,2,B,,600,2110,1510,false
149,1,A,,606,1491,885,false
150,2,B,,606,2126,1520,false
151,1,A,,614,1507,893,false
152,2,B,,614,2141,1527,false
153,1,A,,622,1522,900,false
154,2,B,,622,2156,1534,false
155,1,A,,631,1538,907,false
156,2,B,,631,2170,1539,false
157,1,A,,638,1553,915,false
158,2,B,,638,2186,1548,false
159,1,A,,648,1570,922,false
160,2,B,,648,2201,1553,false
