request_id,flow,size_bytes,push_cycle,pop_cycle,dropped
1,1,48,0,24,false
2,2,48,3,30,false
3,3,48,5,27,false
4,4,48,8,33,false
5,5,48,11,39,false
6,6,48,14,36,false
7,7,48,16,42,false
8,8,48,19,48,false
9,9,48,22,45,false
10,10,48,25,51,false
11,11,48,27,60,false
12,12,48,30,54,false
13,13,48,33,57,false
14,14,48,35,63,false
15,15,48,38,66,false
16,16,48,41,72,false
17,17,48,44,75,false
18,18,48,46,69,false
19,19,48,49,78,false
20,20,48,52,84,false
21,21,48,55,81,false
22,22,48,57,87,false
23,23,48,60,96,false
24,24,48,63,90,false
25,25,48,65,93,false
26,26,48,68,99,false
27,27,48,71,102,false
28,28,48,74,111,false
29,29,48,76,114,false
30,30,48,79,105,false
31,31,48,82,108,false
32,32,48,85,117,false
33,1,48,87,120,false
34,2,48,90,126,false
35,3,48,92,123,false
36,4,48,95,129,false
37,5,48,98,141,false
38,6,48,101,132,false
39,7,48,103,135,false
40,8,48,106,144,false
41,9,48,109,138,false
42,10,48,112,147,false
43,11,48,114,159,false
44,12,48,117,150,false
45,13,48,120,153,false
46,14,48,122,162,false
47,15,48,125,156,false
48,16,48,128,165,false
49,17,48,131,177,false
50,18,48,133,168,false
51,19,48,136,171,false
52,20,48,139,180,false
53,21,48,142,174,false
54,22,48,144,183,false
55,23,48,147,195,false
56,24,48,150,186,false
57,25,48,152,189,false
58,26,48,155,198,false
59,27,48,158,192,false
60,28,48,161,201,false
61,29,48,163,216,false
62,30,48,166,204,false
63,31,48,169,207,false
64,32,48,172,219,false
65,1,48,175,210,false
66,2,48,178,222,false
67,3,48,180,213,false
68,4,48,183,225,false
69,5,48,186,237,false
70,6,48,189,228,false
71,7,48,191,231,false
72,8,48,194,240,false
73,9,48,197,234,false
74,10,48,200,243,false
75,11,48,202,258,false
76,12,48,205,246,false
77,13,48,208,249,false
78,14,48,210,261,false
79,15,48,213,252,false
80,16,48,216,264,false
81,17,48,219,267,false
82,18,48,221,255,false
83,19,48,224,270,false
84,20,48,227,282,false
85,21,48,230,273,false
86,22,48,232,285,false
87,23,48,235,288,false
88,24,48,238,276,false
89,25,48,240,279,false
90,26,48,243,291,false
91,27,48,246,294,false
92,28,48,249,309,false
93,29,48,251,312,false
94,30,48,254,297,false
95,31,48,257,300,false
96,32,48,260,315,false
97,1,48,262,303,false
98,2,48,265,318,false
99,3,48,267,306,false
100,4,48,270,321,false
101,5,48,273,339,false
102,6,48,276,324,false
103,7,48,278,327,false
104,8,48,281,342,false
105,9,48,284,330,false
106,10,48,287,345,false
107,11,48,289,348,false
108,12,48,292,333,false
109,13,48,295,336,false
110,14,48,297,351,false
111,15,48,300,354,false
112,16,48,303,369,false
113,17,48,306,372,false
114,18,48,308,357,false
115,19,48,311,360,false
116,20,48,314,375,false
117,21,48,317,363,false
118,22,48,319,378,false
119,23,48,322,381,false
120,24,48,325,366,false
121,25,48,327,384,false
122,26,48,330,402,false
123,27,48,333,387,false
124,28,48,336,405,false
125,29,48,338,408,false
126,30,48,341,390,false
127,31,48,344,393,false
128,32,48,347,411,false
129,1,48,349,396,false
130,2,48,352,414,false
131,3,48,354,399,false
132,4,48,357,417,false
133,5,48,360,438,false
134,6,48,363,420,false
135,7,48,365,423,false
136,8,48,368,441,false
137,9,48,371,426,false
138,10,48,374,444,false
139,11,48,376,447,false
140,12,48,379,429,false
141,13,48,382,432,false
142,14,48,384,450,false
143,15,48,387,435,false
144,16,48,390,453,false
145,17,48,393,474,false
146,18,48,395,456,false
147,19,48,398,459,false
148,20,48,401,477,false
149,21,48,404,462,false
150,22,48,406,480,false
151,23,48,409,483,false
152,24,48,412,465,false
153,25,48,414,468,false
154,26,48,417,486,false
155,27,48,420,471,false
156,28,48,423,489,false
157,29,48,425,513,false
158,30,48,428,492,false
159,31,48,431,495,false
160,32,48,434,516,false
161,1,48,436,498,false
162,2,48,439,519,false
163,3,48,441,501,false
164,4,48,444,522,false
165,5,48,447,525,false
166,6,48,450,504,false
167,7,48,452,507,false
168,8,48,455,528,false
169,9,48,458,510,false
170,10,48,461,531,false
171,11,48,463,555,false
172,12,48,466,534,false
173,13,48,469,537,false
174,14,48,471,558,false
175,15,48,474,540,false
176,16,48,477,561,false
177,17,48,480,564,false
178,18,48,482,543,false
179,19,48,485,546,false
180,20,48,488,567,false
181,21,48,491,549,false
182,22,48,493,570,false
183,23,48,496,573,false
184,24,48,499,552,false
185,25,48,501,576,false
186,26,48,504,600,false
187,27,48,507,579,false
188,28,48,510,603,false
189,29,48,512,606,false
190,30,48,515,582,false
191,31,48,518,585,false
192,32,48,521,609,false
193,1,48,524,588,false
194,2,48,527,612,false
195,3,48,529,591,false
196,4,48,532,615,false
197,5,48,535,618,false
198,6,48,538,594,false
199,7,48,540,597,false
200,8,48,543,621,false
201,9,48,546,624,false
202,10,48,549,648,false
203,11,48,551,651,false
204,12,48,554,627,false
205,13,48,557,630,false
206,14,48,559,654,false
207,15,48,562,633,false
208,16,48,565,657,false
209,17,48,568,660,false
210,18,48,570,636,false
211,19,48,573,639,false
212,20,48,576,663,false
213,21,48,579,642,false
214,22,48,581,666,false
215,23,48,584,669,false
216,24,48,587,645,false
217,25,48,589,672,false
218,26,48,592,768,false
219,27,48,595,675,false
220,28,48,598,699,false
221,29,48,600,702,false
222,30,48,603,678,false
223,31,48,606,681,false
224,32,48,609,705,false
225,1,48,611,684,false
226,2,48,614,708,false
227,3,48,616,687,false
228,4,48,619,711,false
229,5,48,622,714,false
230,6,48,625,690,false
231,7,48,627,693,false
232,8,48,630,717,false
233,9,48,633,720,false
234,10,48,636,744,false
235,11,48,638,819,false
236,12,48,641,723,false
237,13,48,644,726,false
238,14,48,646,822,false
239,15,48,649,729,false
240,16,48,652,753,false
241,17,48,655,756,false
242,18,48,657,732,false
243,19,48,660,735,false
244,20,48,663,759,false
245,21,48,666,738,false
246,22,48,668,762,false
247,23,48,671,765,false
248,24,48,674,741,false
249,25,48,676,696,false
250,26,48,679,888,false
251,27,48,682,771,false
252,28,48,685,795,false
253,29,48,687,870,false
254,30,48,690,774,false
255,31,48,693,777,false
256,32,48,696,873,false
257,1,48,698,780,false
258,2,48,701,876,false
259,3,48,703,783,false
260,4,48,706,807,false
261,5,48,709,810,false
262,6,48,712,786,false
263,7,48,714,789,false
264,8,48,717,813,false
265,9,48,720,816,false
266,10,48,723,840,false
267,11,48,725,915,false
268,12,48,728,747,false
269,13,48,731,750,false
270,14,48,733,918,false
271,15,48,736,825,false
272,16,48,739,849,false
273,17,48,742,924,false
274,18,48,744,828,false
275,19,48,747,831,false
276,20,48,750,927,false
277,21,48,753,834,false
278,22,48,755,858,false
279,23,48,758,861,false
280,24,48,761,837,false
281,25,48,763,792,false
282,26,48,766,984,false
283,27,48,769,867,false
284,28,48,772,891,false
285,29,48,774,966,false
286,30,48,777,798,false
287,31,48,780,801,false
288,32,48,783,993,false
289,1,48,785,804,false
290,2,48,788,972,false
291,3,48,790,879,false
292,4,48,793,903,false
293,5,48,796,978,false
294,6,48,799,882,false
295,7,48,801,885,false
296,8,48,804,981,false
297,9,48,807,912,false
298,10,48,810,936,false
299,11,48,812,1035,false
300,12,48,815,843,false
301,13,48,818,846,false
302,14,48,820,1038,false
303,15,48,823,921,false
304,16,48,826,945,false
305,17,48,829,1020,false
306,18,48,831,852,false
307,19,48,834,855,false
308,20,48,837,1047,false
309,21,48,840,930,false
310,22,48,842,954,false
311,23,48,845,1029,false
312,24,48,848,933,false
313,25,48,850,864,false
314,26,48,853,1080,false
315,27,48,856,963,false
316,28,48,859,987,false
317,29,48,861,1086,false
318,30,48,864,894,false
319,31,48,867,897,false
320,32,48,870,1089,false
321,1,48,873,900,false
322,2,48,876,1092,false
323,3,48,878,975,false
324,4,48,881,999,false
325,5,48,884,1074,false
326,6,48,887,906,false
327,7,48,889,909,false
328,8,48,892,1101,false
329,9,48,895,1008,false
330,10,48,898,1032,false
331,11,48,900,1131,false
332,12,48,903,939,false
333,13,48,906,942,false
334,14,48,908,1134,false
335,15,48,911,1017,false
336,16,48,914,1041,false
337,17,48,917,1140,false
338,18,48,919,948,false
339,19,48,922,951,false
340,20,48,925,1143,false
341,21,48,928,1026,false
342,22,48,930,1050,false
343,23,48,933,1125,false
344,24,48,936,957,false
345,25,48,938,960,false
346,26,48,941,1176,false
347,27,48,944,1059,false
348,28,48,947,1083,false
349,29,48,949,1182,false
350,30,48,952,990,false
351,31,48,955,969,false
352,32,48,958,1185,false
353,1,48,960,996,false
354,2,48,963,1188,false
355,3,48,965,1071,false
356,4,48,968,1095,false
357,5,48,971,1194,false
358,6,48,974,1002,false
359,7,48,976,1005,false
360,8,48,979,1197,false
361,9,48,982,1104,false
362,10,48,985,1128,false
363,11,48,987,1227,false
364,12,48,990,1011,false
365,13,48,993,1014,false
366,14,48,995,1230,false
367,15,48,998,1113,false
368,16,48,1001,1137,false
