cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2001,accepted,UpdateRankQuantum,1,1,3,120,
2002,accepted,UpdateBrainEngine,2,3,0,2,
2003,accepted,UpdateRankGroup,1,1,5,3,
2003,dispatched,UpdateRankQuantum,1,1,3,120,
2004,accepted,UpdateBrainEngine,3,5,0,3,
2004,dispatched,UpdateBrainEngine,2,3,0,2,
2005,accepted,UpdateBrainFlowState,2,3,261,1,
2005,dispatched,UpdateRankGroup,1,1,5,3,
2006,accepted,UpdateRankGroup,1,1,6,3,
2006,dispatched,UpdateBrainEngine,3,5,0,3,
2007,accepted,UpdateBrainEngine,3,6,0,3,
2007,dispatched,UpdateBrainFlowState,2,3,261,1,
2008,accepted,UpdateBrainFlowState,2,3,262,2,
2008,dispatched,UpdateRankGroup,1,1,6,3,
2009,accepted,UpdateMapperPre,1,5,0,1,
2009,dispatched,UpdateBrainEngine,3,6,0,3,
2010,accepted,UpdateMapperPost,1,1,133,259,
2010,dispatched,UpdateBrainFlowState,2,3,262,2,
2011,accepted,UpdateMapperPre,2,5,0,3,
2011,dispatched,UpdateMapperPre,1,5,0,1,
2012,accepted,UpdateMapperPost,2,3,261,389,
2012,dispatched,UpdateMapperPost,1,1,133,259,
2013,accepted,UpdateMapperPre,3,5,0,5,
2013,dispatched,UpdateMapperPre,2,5,0,3,
2014,accepted,UpdateMapperPost,3,5,389,5,
2014,dispatched,UpdateMapperPost,2,3,261,389,
2015,accepted,UpdateMapperPre,1,6,0,1,
2015,dispatched,UpdateMapperPre,3,5,0,5,
2016,accepted,UpdateMapperPost,1,1,134,259,
2016,dispatched,UpdateMapperPost,3,5,389,5,
2017,accepted,UpdateMapperPre,2,6,0,3,
2017,dispatched,UpdateMapperPre,1,6,0,1,
2018,accepted,UpdateMapperPost,2,3,262,390,
2018,dispatched,UpdateMapperPost,1,1,134,259,
2019,accepted,UpdateMapperPre,3,6,0,6,
2019,dispatched,UpdateMapperPre,2,6,0,3,
2020,accepted,UpdateMapperPost,3,6,390,6,
2020,dispatched,UpdateMapperPost,2,3,262,390,
2021,dispatched,UpdateMapperPre,3,6,0,6,
2022,dispatched,UpdateMapperPost,3,6,390,6,
2030,accepted,CommitMapper,1,0,0,0,
2032,dispatched,CommitMapper,1,0,0,0,
2032,committed,CommitMapper,1,0,0,0,
2033,replayed,UpdateMapperPre,1,5,0,1,
2034,replayed,UpdateMapperPost,1,1,133,259,
2035,replayed,UpdateMapperPre,2,5,0,3,
2036,replayed,UpdateMapperPost,2,3,261,389,
2037,replayed,UpdateMapperPre,3,5,0,5,
2038,replayed,UpdateMapperPost,3,5,389,5,
2039,replayed,UpdateMapperPre,1,6,0,1,
2040,replayed,UpdateMapperPost,1,1,134,259,
2041,replayed,UpdateMapperPre,2,6,0,3,
2042,replayed,UpdateMapperPost,2,3,262,390,
2043,replayed,UpdateMapperPre,3,6,0,6,
2044,replayed,UpdateMapperPost,3,6,390,6,
