request_id,global_flow_id,size_bytes,arrival_cycle,admitted_cycle,completed_cycle,admission_delay_cycles,sojourn_cycles
1,1,48,0,1,24,1,24
3,3,48,5,6,27,1,22
2,2,48,3,4,30,1,27
4,4,48,8,9,33,1,25
6,6,48,14,15,36,1,22
5,5,48,11,13,39,2,28
7,7,48,16,18,42,2,26
9,9,48,22,23,45,1,23
8,8,48,19,20,48,1,29
10,10,48,25,26,51,1,26
12,12,48,30,32,54,2,24
13,13,48,33,35,57,2,24
11,11,48,27,29,60,2,33
14,14,48,35,36,63,1,28
15,15,48,38,39,66,1,28
18,18,48,46,48,69,2,23
16,16,48,41,43,72,2,31
17,17,48,44,45,75,1,31
19,19,48,49,50,78,1,29
21,21,48,55,56,81,1,26
20,20,48,52,53,84,1,32
22,22,48,57,59,87,2,30
24,24,48,63,65,90,2,27
25,25,48,65,66,93,1,28
23,23,48,60,62,96,2,36
26,26,48,68,69,99,1,31
27,27,48,71,73,102,2,31
30,30,48,79,80,105,1,26
31,31,48,82,83,108,1,26
28,28,48,74,75,111,1,37
29,29,48,76,78,114,2,38
32,32,48,85,86,117,1,32
33,33,48,87,89,120,2,33
36,36,48,95,96,123,1,28
34,34,48,90,92,126,2,36
35,35,48,93,95,129,2,36
37,37,48,98,99,132,1,34
39,39,48,104,105,135,1,31
42,42,48,112,113,138,1,26
38,38,48,101,103,141,2,40
40,40,48,106,108,144,2,38
41,41,48,109,110,147,1,38
43,43,48,115,116,150,1,35
45,45,48,120,122,153,2,33
48,48,48,128,129,156,1,28
44,44,48,117,119,159,2,42
46,46,48,123,125,162,2,39
47,47,48,125,126,165,1,40
49,49,48,131,133,168,2,37
51,51,48,136,138,171,2,35
54,54,48,145,146,174,1,29
50,50,48,134,135,177,1,43
52,52,48,139,140,180,1,41
53,53,48,142,143,183,1,41
55,55,48,147,149,186,2,39
57,57,48,153,155,189,2,36
60,60,48,161,163,192,2,31
56,56,48,150,152,195,2,45
58,58,48,155,156,198,1,43
59,59,48,158,159,201,1,43
61,61,48,164,165,204,1,40
63,63,48,169,170,207,1,38
65,1,48,175,176,210,1,35
67,3,48,180,182,213,2,33
62,62,48,166,168,216,2,50
64,64,48,172,173,219,1,47
66,2,48,178,179,222,1,44
68,4,48,183,185,225,2,42
70,6,48,189,191,228,2,39
71,7,48,191,192,231,1,40
73,9,48,197,199,234,2,37
69,5,48,186,188,237,2,51
72,8,48,194,195,240,1,46
74,10,48,200,201,243,1,43
76,12,48,205,206,246,1,41
77,13,48,208,209,249,1,41
79,15,48,213,215,252,2,39
82,18,48,221,222,255,1,34
75,11,48,202,204,258,2,56
78,14,48,210,212,261,2,51
80,16,48,216,218,264,2,48
81,17,48,219,221,267,2,48
83,19,48,224,225,270,1,46
85,21,48,230,231,273,1,43
88,24,48,238,239,276,1,38
89,25,48,240,242,279,2,39
84,20,48,227,229,282,2,55
86,22,48,232,234,285,2,53
87,23,48,235,236,288,1,53
90,26,48,243,245,291,2,48
91,27,48,246,248,294,2,48
94,30,48,254,255,297,1,43
95,31,48,257,259,300,2,43
97,33,48,262,264,303,2,41
100,36,48,270,272,306,2,36
92,28,48,249,251,309,2,60
93,29,48,251,252,312,1,61
96,32,48,260,261,315,1,55
98,34,48,265,266,318,1,53
99,35,48,268,269,321,1,53
101,37,48,273,275,324,2,51
103,39,48,279,281,327,2,48
106,42,48,287,289,330,2,43
107,43,48,290,291,333,1,43
109,45,48,295,296,336,1,41
102,38,48,276,278,339,2,63
104,40,48,281,282,342,1,61
105,41,48,284,285,345,1,61
108,44,48,292,294,348,2,56
110,46,48,298,299,351,1,53
112,48,48,303,305,354,2,51
113,49,48,306,308,357,2,51
115,51,48,311,312,360,1,49
118,54,48,320,321,363,1,43
119,55,48,322,324,366,2,44
111,47,48,300,302,369,2,69
114,50,48,309,311,372,2,63
116,52,48,314,315,375,1,61
117,53,48,317,319,378,2,61
120,56,48,325,326,381,1,56
121,57,48,328,329,384,1,56
124,60,48,336,338,387,2,51
125,61,48,339,341,390,2,51
127,63,48,344,345,393,1,49
129,1,48,349,350,396,1,47
131,3,48,354,356,399,2,45
122,58,48,330,332,402,2,72
123,59,48,333,335,405,2,72
126,62,48,341,342,408,1,67
128,64,48,347,349,411,2,64
130,2,48,352,353,414,1,62
132,4,48,357,359,417,2,60
134,6,48,363,365,420,2,57
135,7,48,365,366,423,1,58
137,9,48,371,373,426,2,55
140,12,48,379,380,429,1,50
141,13,48,382,383,432,1,50
143,15,48,387,389,435,2,48
133,5,48,360,362,438,2,78
136,8,48,368,369,441,1,73
138,10,48,374,375,444,1,70
139,11,48,376,378,447,2,71
142,14,48,384,386,450,2,66
144,16,48,390,392,453,2,63
146,18,48,395,396,456,1,61
147,19,48,398,399,459,1,61
149,21,48,404,405,462,1,58
152,24,48,412,413,465,1,53
153,25,48,414,416,468,2,54
155,27,48,420,422,471,2,51
145,17,48,393,395,474,2,81
148,20,48,401,403,477,2,76
150,22,48,406,408,480,2,74
151,23,48,409,410,483,1,74
154,26,48,417,419,486,2,69
156,28,48,423,425,489,2,66
158,30,48,428,429,492,1,64
159,31,48,431,433,495,2,64
161,33,48,436,438,498,2,62
164,36,48,444,446,501,2,57
165,37,48,447,449,504,2,57
167,39,48,453,455,507,2,54
170,42,48,461,463,510,2,49
157,29,48,425,426,513,1,88
160,32,48,434,435,516,1,82
162,34,48,439,440,519,1,80
163,35,48,442,443,522,1,80
166,38,48,450,452,525,2,75
168,40,48,455,456,528,1,73
169,41,48,458,459,531,1,73
171,43,48,464,465,534,1,70
173,45,48,469,470,537,1,68
176,48,48,477,479,540,2,63
177,49,48,480,482,543,2,63
179,51,48,485,486,546,1,61
182,54,48,494,495,549,1,55
183,55,48,496,498,552,2,56
172,44,48,466,468,555,2,89
174,46,48,472,473,558,1,86
175,47,48,474,476,561,2,87
178,50,48,483,485,564,2,81
180,52,48,488,489,567,1,79
181,53,48,491,493,570,2,79
184,56,48,499,500,573,1,74
185,57,48,502,503,576,1,74
188,60,48,510,512,579,2,69
189,61,48,513,515,582,2,69
191,63,48,518,519,585,1,67
193,1,48,524,525,588,1,64
195,3,48,529,530,591,1,62
198,6,48,538,539,594,1,56
199,7,48,540,542,597,2,57
186,58,48,504,506,600,2,96
187,59,48,507,509,603,2,96
190,62,48,515,516,606,1,91
192,64,48,521,523,609,2,88
194,2,48,527,529,612,2,85
196,4,48,532,533,615,1,83
197,5,48,535,536,618,1,83
200,8,48,543,545,621,2,78
201,9,48,546,548,624,2,78
204,12,48,554,555,627,1,73
205,13,48,557,559,630,2,73
207,15,48,562,563,633,1,71
210,18,48,570,572,636,2,66
211,19,48,573,575,639,2,66
213,21,48,579,581,642,2,63
216,24,48,587,589,645,2,58
202,10,48,549,551,648,2,99
203,11,48,551,552,651,1,100
206,14,48,559,560,654,1,95
208,16,48,565,566,657,1,92
209,17,48,568,569,660,1,92
212,20,48,576,578,663,2,87
214,22,48,581,582,666,1,85
215,23,48,584,585,669,1,85
217,25,48,589,590,672,1,83
219,27,48,595,596,675,1,80
222,30,48,603,605,678,2,75
223,31,48,606,608,681,2,75
225,33,48,611,612,684,1,73
228,36,48,619,620,687,1,68
