cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2021,accepted,UpdateBrainEngine,1,1,0,4,
2022,accepted,UpdateRankQuantum,1,1,1,120,
2023,accepted,UpdateBrainEngine,2,1,0,2,
2023,dispatched,UpdateBrainEngine,1,1,0,4,
2024,accepted,UpdateRankGroup,1,1,1,1,
2024,dispatched,UpdateRankQuantum,1,1,1,120,
2025,accepted,UpdateBrainEngine,3,1,0,3,
2025,dispatched,UpdateBrainEngine,2,1,0,2,
2026,accepted,UpdateBrainFlowState,2,1,257,1,
2026,dispatched,UpdateRankGroup,1,1,1,1,
2027,accepted,UpdateRankGroup,1,1,2,1,
2027,dispatched,UpdateBrainEngine,3,1,0,3,
2028,accepted,UpdateBrainEngine,3,2,0,3,
2028,dispatched,UpdateBrainFlowState,2,1,257,1,
2029,accepted,UpdateBrainFlowState,2,1,258,2,
2029,dispatched,UpdateRankGroup,1,1,2,1,
2030,accepted,UpdateRankQuantum,1,1,2,120,
2030,dispatched,UpdateBrainEngine,3,2,0,3,
2031,accepted,UpdateBrainEngine,2,2,0,4,
2031,dispatched,UpdateBrainFlowState,2,1,258,2,
2032,accepted,UpdateRankGroup,1,1,3,2,
2032,dispatched,UpdateRankQuantum,1,1,2,120,
2033,accepted,UpdateBrainEngine,3,3,0,3,
2033,dispatched,UpdateBrainEngine,2,2,0,4,
2034,accepted,UpdateRankGroup,2,2,3,3,
2034,dispatched,UpdateRankGroup,1,1,3,2,
2035,accepted,UpdateRankQuantum,2,2,3,120,
2035,dispatched,UpdateBrainEngine,3,3,0,3,
2036,accepted,UpdateRankGroup,1,1,4,2,
2036,dispatched,UpdateRankGroup,2,2,3,3,
2037,accepted,UpdateBrainEngine,3,4,0,3,
2037,dispatched,UpdateRankQuantum,2,2,3,120,
2038,accepted,UpdateRankGroup,2,2,4,4,
2038,dispatched,UpdateRankGroup,1,1,4,2,
2039,accepted,UpdateRankQuantum,2,2,4,120,
2039,dispatched,UpdateBrainEngine,3,4,0,3,
2040,accepted,UpdateRankQuantum,1,1,3,120,
2040,dispatched,UpdateRankGroup,2,2,4,4,
2041,accepted,UpdateBrainEngine,2,3,0,4,
2041,dispatched,UpdateRankQuantum,2,2,4,120,
2042,accepted,UpdateRankGroup,1,1,5,3,
2042,dispatched,UpdateRankQuantum,1,1,3,120,
2043,accepted,UpdateBrainEngine,3,5,0,3,
2043,dispatched,UpdateBrainEngine,2,3,0,4,
2044,accepted,UpdateRankGroup,2,3,5,5,
2044,dispatched,UpdateRankGroup,1,1,5,3,
2045,accepted,UpdateRankQuantum,2,3,5,120,
2045,dispatched,UpdateBrainEngine,3,5,0,3,
2046,accepted,UpdateRankGroup,1,1,6,3,
2046,dispatched,UpdateRankGroup,2,3,5,5,
2047,accepted,UpdateBrainEngine,3,6,0,3,
2047,dispatched,UpdateRankQuantum,2,3,5,120,
2048,accepted,UpdateRankGroup,2,3,6,6,
2048,dispatched,UpdateRankGroup,1,1,6,3,
2049,accepted,UpdateRankQuantum,2,3,6,60,
2049,dispatched,UpdateBrainEngine,3,6,0,3,
2050,accepted,UpdateRankQuantum,1,1,4,120,
2050,dispatched,UpdateRankGroup,2,3,6,6,
2051,accepted,UpdateBrainEngine,2,4,0,2,
2051,dispatched,UpdateRankQuantum,2,3,6,60,
2052,accepted,UpdateRankGroup,1,1,7,4,
2052,dispatched,UpdateRankQuantum,1,1,4,120,
2053,accepted,UpdateBrainEngine,3,7,0,3,
2053,dispatched,UpdateBrainEngine,2,4,0,2,
2054,accepted,UpdateBrainFlowState,2,4,263,1,
2054,dispatched,UpdateRankGroup,1,1,7,4,
2055,accepted,UpdateRankGroup,1,1,8,4,
2055,dispatched,UpdateBrainEngine,3,7,0,3,
2056,accepted,UpdateBrainEngine,3,8,0,3,
2056,dispatched,UpdateBrainFlowState,2,4,263,1,
2057,accepted,UpdateBrainFlowState,2,4,264,2,
2057,dispatched,UpdateRankGroup,1,1,8,4,
2058,accepted,UpdateRankQuantum,1,1,5,120,
2058,dispatched,UpdateBrainEngine,3,8,0,3,
2059,accepted,UpdateBrainEngine,2,5,0,4,
2059,dispatched,UpdateBrainFlowState,2,4,264,2,
2060,accepted,UpdateRankGroup,1,1,9,5,
2060,dispatched,UpdateRankQuantum,1,1,5,120,
2061,accepted,UpdateBrainEngine,3,9,0,3,
2061,dispatched,UpdateBrainEngine,2,5,0,4,
2062,accepted,UpdateRankGroup,2,5,9,9,
2062,dispatched,UpdateRankGroup,1,1,9,5,
2063,accepted,UpdateRankQuantum,2,5,9,120,
2063,dispatched,UpdateBrainEngine,3,9,0,3,
2064,accepted,UpdateRankGroup,1,1,10,5,
2064,dispatched,UpdateRankGroup,2,5,9,9,
2065,accepted,UpdateBrainEngine,3,10,0,3,
2065,dispatched,UpdateRankQuantum,2,5,9,120,
2066,accepted,UpdateRankGroup,2,5,10,10,
2066,dispatched,UpdateRankGroup,1,1,10,5,
2067,accepted,UpdateRankQuantum,2,5,10,120,
2067,dispatched,UpdateBrainEngine,3,10,0,3,
2068,accepted,UpdateRankQuantum,1,1,6,120,
2068,dispatched,UpdateRankGroup,2,5,10,10,
2069,accepted,UpdateBrainEngine,2,6,0,4,
2069,dispatched,UpdateRankQuantum,2,5,10,120,
2070,accepted,UpdateRankGroup,1,1,11,6,
2070,dispatched,UpdateRankQuantum,1,1,6,120,
2071,accepted,UpdateBrainEngine,3,11,0,3,
2071,dispatched,UpdateBrainEngine,2,6,0,4,
2072,accepted,UpdateRankGroup,2,6,11,11,
2072,dispatched,UpdateRankGroup,1,1,11,6,
2073,accepted,UpdateRankQuantum,2,6,11,120,
2073,dispatched,UpdateBrainEngine,3,11,0,3,
2074,accepted,UpdateRankGroup,1,1,12,6,
2074,dispatched,UpdateRankGroup,2,6,11,11,
2075,accepted,UpdateBrainEngine,3,12,0,3,
2075,dispatched,UpdateRankQuantum,2,6,11,120,
2076,accepted,UpdateRankGroup,2,6,12,12,
2076,dispatched,UpdateRankGroup,1,1,12,6,
2077,accepted,UpdateRankQuantum,2,6,12,60,
2077,dispatched,UpdateBrainEngine,3,12,0,3,
2078,accepted,UpdateRankQuantum,1,1,7,120,
2078,dispatched,UpdateRankGroup,2,6,12,12,
2079,accepted,UpdateBrainEngine,2,7,0,2,
2079,dispatched,UpdateRankQuantum,2,6,12,60,
