cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2000,driver_stop,1,1,69,76,1
2018,hardware_stop,1,1,70,77,7
2051,stop_snapshot,1,1,70,89,19
2212,prefill_started,7,1,70,148,78
2283,prefill_finished,7,1,70,174,104
2283,root_detached,1,1,70,174,104
2283,root_published,7,1,70,174,104
2283,drain_watch_armed,1,1,70,174,104
2283,driver_resume,1,1,70,174,104
2284,hardware_resume,1,1,70,175,104
2576,root_detached,7,1,183,191,1
2576,root_published,4,1,185,191,1
2615,clear_engine,7,0,183,191,1
