request_id,flow,flow_name,push_cycle,pop_cycle,control_pop_cycle,added_delay_cycles
667,3,Tenant_02_A,1816,2306,2022,284
675,3,Tenant_02_A,1838,2330,2046,284
683,3,Tenant_02_A,1860,2354,2076,278
691,3,Tenant_02_A,1881,2378,2106,272
699,3,Tenant_02_A,1903,2402,2136,266
707,3,Tenant_02_A,1925,2426,2166,260
715,3,Tenant_02_A,1947,2450,2196,254
723,3,Tenant_02_A,1969,2474,2226,248
731,3,Tenant_02_A,1990,2498,2256,242
737,3,Tenant_02_A,2005,2516,2283,233
747,3,Tenant_02_A,2032,2546,2313,233
757,3,Tenant_02_A,2060,2576,2343,233
767,3,Tenant_02_A,2087,2606,2373,233
777,3,Tenant_02_A,2114,2636,2403,233
787,3,Tenant_02_A,2141,2666,2433,233
797,3,Tenant_02_A,2169,2696,2463,233
807,3,Tenant_02_A,2196,2726,2493,233
817,3,Tenant_02_A,2223,2756,2523,233
827,3,Tenant_02_A,2250,2786,2553,233
837,3,Tenant_02_A,2278,2816,2583,233
847,3,Tenant_02_A,2305,2846,2613,233
857,3,Tenant_02_A,2332,2876,2643,233
867,3,Tenant_02_A,2360,2906,2673,233
877,3,Tenant_02_A,2387,2936,2703,233
887,3,Tenant_02_A,2414,2966,2733,233
897,3,Tenant_02_A,2441,2996,2763,233
907,3,Tenant_02_A,2469,3026,2793,233
917,3,Tenant_02_A,2496,3056,2823,233
927,3,Tenant_02_A,2523,3086,2853,233
937,3,Tenant_02_A,2550,3116,2883,233
947,3,Tenant_02_A,2578,3146,2913,233
957,3,Tenant_02_A,2605,3176,2943,233
967,3,Tenant_02_A,2632,3206,2973,233
977,3,Tenant_02_A,2660,3236,3003,233
987,3,Tenant_02_A,2687,3266,3033,233
997,3,Tenant_02_A,2714,3296,3063,233
1007,3,Tenant_02_A,2741,3326,3093,233
1017,3,Tenant_02_A,2769,3356,3123,233
1027,3,Tenant_02_A,2796,3386,3153,233
1037,3,Tenant_02_A,2823,3416,3183,233
1047,3,Tenant_02_A,2850,3446,3213,233
1057,3,Tenant_02_A,2878,3476,3243,233
1067,3,Tenant_02_A,2905,3506,3273,233
1077,3,Tenant_02_A,2932,3536,3303,233
1087,3,Tenant_02_A,2960,3566,3333,233
1097,3,Tenant_02_A,2987,3596,3363,233
1107,3,Tenant_02_A,3014,3626,3393,233
1117,3,Tenant_02_A,3041,3656,3423,233
1127,3,Tenant_02_A,3069,3686,3453,233
1137,3,Tenant_02_A,3096,3716,3483,233
1147,3,Tenant_02_A,3123,3746,3513,233
1157,3,Tenant_02_A,3150,3776,3543,233
1167,3,Tenant_02_A,3178,3806,3573,233
1177,3,Tenant_02_A,3205,3836,3603,233
1187,3,Tenant_02_A,3232,3866,3633,233
1197,3,Tenant_02_A,3260,3896,3663,233
1207,3,Tenant_02_A,3287,3926,3693,233
1217,3,Tenant_02_A,3314,3956,3723,233
1227,3,Tenant_02_A,3341,3986,3753,233
1237,3,Tenant_02_A,3369,4016,3783,233
1247,3,Tenant_02_A,3396,4046,3813,233
1257,3,Tenant_02_A,3423,4076,3843,233
1267,3,Tenant_02_A,3450,4106,3873,233
1277,3,Tenant_02_A,3478,4136,3903,233
1287,3,Tenant_02_A,3505,4166,3933,233
1297,3,Tenant_02_A,3532,4196,3963,233
1307,3,Tenant_02_A,3560,4226,3993,233
1317,3,Tenant_02_A,3587,4256,4023,233
1327,3,Tenant_02_A,3614,4286,4053,233
1337,3,Tenant_02_A,3641,4316,4083,233
1347,3,Tenant_02_A,3669,4346,4113,233
1357,3,Tenant_02_A,3696,4376,4143,233
1367,3,Tenant_02_A,3723,4406,4173,233
1377,3,Tenant_02_A,3750,4436,4203,233
1387,3,Tenant_02_A,3778,4466,4233,233
1397,3,Tenant_02_A,3805,4496,4263,233
