request_id,flow,flow_name,push_cycle,pop_cycle,control_pop_cycle,added_delay_cycles
667,3,Tenant_02_A,1816,3065,2022,1043
675,3,Tenant_02_A,1838,3092,2046,1046
683,3,Tenant_02_A,1860,3122,2076,1046
691,3,Tenant_02_A,1881,3152,2106,1046
699,3,Tenant_02_A,1903,3182,2136,1046
707,3,Tenant_02_A,1925,3212,2166,1046
715,3,Tenant_02_A,1947,3242,2196,1046
723,3,Tenant_02_A,1969,3269,2226,1043
731,3,Tenant_02_A,1990,3299,2256,1043
737,3,Tenant_02_A,2005,3329,2283,1046
747,3,Tenant_02_A,2032,3359,2313,1046
757,3,Tenant_02_A,2060,3389,2343,1046
767,3,Tenant_02_A,2087,3419,2373,1046
777,3,Tenant_02_A,2114,3449,2403,1046
787,3,Tenant_02_A,2141,3479,2433,1046
797,3,Tenant_02_A,2169,3509,2463,1046
807,3,Tenant_02_A,2196,3539,2493,1046
817,3,Tenant_02_A,2223,3569,2523,1046
827,3,Tenant_02_A,2250,3599,2553,1046
837,3,Tenant_02_A,2278,3629,2583,1046
847,3,Tenant_02_A,2305,3659,2613,1046
857,3,Tenant_02_A,2332,3689,2643,1046
867,3,Tenant_02_A,2360,3719,2673,1046
877,3,Tenant_02_A,2387,3749,2703,1046
887,3,Tenant_02_A,2414,3779,2733,1046
897,3,Tenant_02_A,2441,3809,2763,1046
907,3,Tenant_02_A,2469,3839,2793,1046
917,3,Tenant_02_A,2496,3869,2823,1046
927,3,Tenant_02_A,2523,3899,2853,1046
937,3,Tenant_02_A,2550,3929,2883,1046
947,3,Tenant_02_A,2578,3959,2913,1046
957,3,Tenant_02_A,2605,3989,2943,1046
967,3,Tenant_02_A,2632,4019,2973,1046
977,3,Tenant_02_A,2660,4049,3003,1046
987,3,Tenant_02_A,2687,4079,3033,1046
997,3,Tenant_02_A,2714,4109,3063,1046
1007,3,Tenant_02_A,2741,4139,3093,1046
1017,3,Tenant_02_A,2769,4169,3123,1046
1027,3,Tenant_02_A,2796,4199,3153,1046
1037,3,Tenant_02_A,2823,4229,3183,1046
1047,3,Tenant_02_A,2850,4259,3213,1046
1057,3,Tenant_02_A,2878,4289,3243,1046
1067,3,Tenant_02_A,2905,4319,3273,1046
1077,3,Tenant_02_A,2932,4349,3303,1046
1087,3,Tenant_02_A,2960,4379,3333,1046
1097,3,Tenant_02_A,2987,4409,3363,1046
1107,3,Tenant_02_A,3014,4439,3393,1046
1117,3,Tenant_02_A,3041,4469,3423,1046
1127,3,Tenant_02_A,3069,4499,3453,1046
1137,3,Tenant_02_A,3096,4529,3483,1046
1147,3,Tenant_02_A,3123,4559,3513,1046
1157,3,Tenant_02_A,3150,4589,3543,1046
1167,3,Tenant_02_A,3178,4619,3573,1046
1177,3,Tenant_02_A,3205,4649,3603,1046
1187,3,Tenant_02_A,3232,4679,3633,1046
1197,3,Tenant_02_A,3260,4709,3663,1046
1207,3,Tenant_02_A,3287,4739,3693,1046
1217,3,Tenant_02_A,3314,4769,3723,1046
1227,3,Tenant_02_A,3341,4799,3753,1046
1237,3,Tenant_02_A,3369,4829,3783,1046
1247,3,Tenant_02_A,3396,4859,3813,1046
1257,3,Tenant_02_A,3423,4889,3843,1046
1267,3,Tenant_02_A,3450,4919,3873,1046
1277,3,Tenant_02_A,3478,4949,3903,1046
1287,3,Tenant_02_A,3505,4979,3933,1046
1297,3,Tenant_02_A,3532,5009,3963,1046
1307,3,Tenant_02_A,3560,5039,3993,1046
1317,3,Tenant_02_A,3587,5069,4023,1046
1327,3,Tenant_02_A,3614,5099,4053,1046
1337,3,Tenant_02_A,3641,5129,4083,1046
1347,3,Tenant_02_A,3669,5159,4113,1046
1357,3,Tenant_02_A,3696,5189,4143,1046
1367,3,Tenant_02_A,3723,5219,4173,1046
1377,3,Tenant_02_A,3750,5249,4203,1046
1387,3,Tenant_02_A,3778,5279,4233,1046
1397,3,Tenant_02_A,3805,5309,4263,1046
1407,3,Tenant_02_A,3832,5339,4293,1046
1417,3,Tenant_02_A,3860,5369,4323,1046
1427,3,Tenant_02_A,3887,5399,4353,1046
1437,3,Tenant_02_A,3914,5429,4383,1046
1447,3,Tenant_02_A,3941,5459,4413,1046
1457,3,Tenant_02_A,3969,5489,4443,1046
1467,3,Tenant_02_A,3996,5519,4473,1046
1477,3,Tenant_02_A,4023,5549,4503,1046
1487,3,Tenant_02_A,4050,5579,4533,1046
1497,3,Tenant_02_A,4078,5609,4563,1046
1507,3,Tenant_02_A,4105,5639,4593,1046
1517,3,Tenant_02_A,4132,5669,4623,1046
