request,tenants,flows,run,commit,name,start_cycle,commit_cycle,ready_for_next_commit,old_tree_drained_cycle,drain_label,commit_applied_cycle,instruction_count,commit_cycles,bank_replay_cycles
reweight,2,4,rio,C1,request,2000,2011,2014,,old-tree-drained,2013,2,13,1
reweight,2,4,prefill,C1,request,2000,2086,2238,2407,old-tree-drained,2191,73,191,47
reweight,2,4,prefill,C2,collapse,2238,2278,2468,2407,old-tree-drained,2451,39,213,17
reweight,2,4,prefill,C3,reclaim,2468,2481,2488,2407,old-tree-drained,2484,12,16,4
reweight,2,4,reset,C1,request,2000,2064,2091,2016,old-tree captured (not drained),2066,44,66,25
reweight,2,4,reset,C2,retire,3042,3042,3046,2016,old-tree captured (not drained),3046,1,4,0
reweight,4,8,rio,C1,request,2000,2011,2014,,old-tree-drained,2013,2,13,1
reweight,4,8,prefill,C1,request,2000,2152,2348,2473,old-tree-drained,2257,139,257,91
reweight,4,8,prefill,C2,collapse,2348,2422,2581,2473,old-tree-drained,2548,73,200,33
reweight,4,8,prefill,C3,reclaim,2581,2602,2613,2473,old-tree-drained,2604,20,23,9
reweight,4,8,reset,C1,request,2000,2106,2157,2016,old-tree captured (not drained),2108,86,108,49
reweight,4,8,reset,C2,retire,3042,3042,3046,2016,old-tree captured (not drained),3046,1,4,0
reweight,8,16,rio,C1,request,2000,2010,2014,,old-tree-drained,2013,2,13,1
reweight,8,16,prefill,C1,request,2000,2285,2569,2606,old-tree-drained,2390,273,390,179
reweight,8,16,prefill,C2,collapse,2569,2711,2813,2606,old-tree-drained,2748,141,179,65
reweight,8,16,prefill,C3,reclaim,2813,2849,2869,2606,old-tree-drained,2852,36,39,17
reweight,8,16,reset,C1,request,2000,2191,2290,2016,old-tree captured (not drained),2193,172,193,97
reweight,8,16,reset,C2,retire,3041,3043,3046,2016,old-tree captured (not drained),3045,1,4,1
reweight,16,32,rio,C1,request,2000,2010,2014,,old-tree-drained,2013,2,13,1
reweight,16,32,prefill,C1,request,2000,2552,3012,2873,old-tree-drained,2657,539,657,355
reweight,16,32,prefill,C2,collapse,3012,3290,3421,2873,old-tree-drained,3292,277,280,129
reweight,16,32,prefill,C3,reclaim,3421,3490,3525,2873,old-tree-drained,3493,68,72,32
reweight,16,32,reset,C1,request,2000,2362,2557,2017,old-tree captured (not drained),2364,342,364,193
reweight,16,32,reset,C2,retire,3043,3043,3047,2017,old-tree captured (not drained),3047,1,4,0
reweight,32,64,rio,C1,request,2000,2010,2014,,old-tree-drained,2013,2,13,1
reweight,32,64,prefill,C1,request,2000,3086,3898,3407,old-tree-drained,3191,1073,1191,707
reweight,32,64,prefill,C2,collapse,3898,4448,4707,3407,old-tree-drained,4450,549,552,257
reweight,32,64,prefill,C3,reclaim,4707,4839,4907,3407,old-tree-drained,4843,132,136,64
reweight,32,64,reset,C1,request,2000,2704,3091,2017,old-tree captured (not drained),2706,684,706,385
reweight,32,64,reset,C2,retire,3169,3169,3173,2017,old-tree captured (not drained),3173,1,4,0
