request_id,flow,flow_name,push_cycle,pop_cycle,control_pop_cycle,added_delay_cycles
675,3,Tenant_02_A,1838,2043,2043,0
707,3,Tenant_02_A,1925,2142,2142,0
737,3,Tenant_02_A,2005,2238,2238,0
769,3,Tenant_02_A,2092,2337,2337,0
801,3,Tenant_02_A,2180,2433,2433,0
833,3,Tenant_02_A,2267,2529,2529,0
865,3,Tenant_02_A,2354,2625,2625,0
897,3,Tenant_02_A,2441,2721,2721,0
929,3,Tenant_02_A,2529,2817,2817,0
961,3,Tenant_02_A,2616,2913,2913,0
993,3,Tenant_02_A,2703,3012,3012,0
1025,3,Tenant_02_A,2790,3108,3108,0
1057,3,Tenant_02_A,2878,3204,3204,0
1089,3,Tenant_02_A,2965,3303,3303,0
1121,3,Tenant_02_A,3052,3399,3399,0
1153,3,Tenant_02_A,3140,3495,3495,0
1185,3,Tenant_02_A,3227,3591,3591,0
1217,3,Tenant_02_A,3314,3687,3687,0
1249,3,Tenant_02_A,3401,3783,3783,0
1281,3,Tenant_02_A,3489,3879,3879,0
1313,3,Tenant_02_A,3576,3978,3978,0
1345,3,Tenant_02_A,3663,4074,4074,0
1377,3,Tenant_02_A,3750,4173,4173,0
1409,3,Tenant_02_A,3838,4269,4269,0
1441,3,Tenant_02_A,3925,4365,4365,0
1473,3,Tenant_02_A,4012,4461,4461,0
1505,3,Tenant_02_A,4100,4557,4557,0
1537,3,Tenant_02_A,4187,4653,4653,0
1569,3,Tenant_02_A,4274,4749,4749,0
1601,3,Tenant_02_A,4361,4848,4848,0
1633,3,Tenant_02_A,4449,4944,4944,0
1665,3,Tenant_02_A,4536,5043,5043,0
1697,3,Tenant_02_A,4623,5139,5139,0
1729,3,Tenant_02_A,4710,5235,5235,0
1761,3,Tenant_02_A,4798,5331,5331,0
1793,3,Tenant_02_A,4885,5427,5427,0
1825,3,Tenant_02_A,4972,5523,5523,0
1857,3,Tenant_02_A,5060,5619,5619,0
1889,3,Tenant_02_A,5147,5718,5718,0
1921,3,Tenant_02_A,5234,5814,5814,0
1953,3,Tenant_02_A,5321,5910,5910,0
1985,3,Tenant_02_A,5409,6009,6009,0
2017,3,Tenant_02_A,5496,6105,6105,0
2049,3,Tenant_02_A,5583,6201,6201,0
2081,3,Tenant_02_A,5670,6297,6297,0
2113,3,Tenant_02_A,5758,6393,6393,0
2145,3,Tenant_02_A,5845,6489,6489,0
2177,3,Tenant_02_A,5932,6585,6585,0
2209,3,Tenant_02_A,6020,6684,6684,0
2241,3,Tenant_02_A,6107,6780,6780,0
2273,3,Tenant_02_A,6194,6879,6879,0
2305,3,Tenant_02_A,6281,6975,6975,0
2337,3,Tenant_02_A,6369,7071,7071,0
2369,3,Tenant_02_A,6456,7167,7167,0
2401,3,Tenant_02_A,6543,7263,7263,0
2433,3,Tenant_02_A,6630,7359,7359,0
2465,3,Tenant_02_A,6718,7455,7455,0
2497,3,Tenant_02_A,6805,7554,7554,0
2529,3,Tenant_02_A,6892,7650,7650,0
2561,3,Tenant_02_A,6980,7749,7749,0
2593,3,Tenant_02_A,7067,7845,7845,0
2625,3,Tenant_02_A,7154,7941,7941,0
2657,3,Tenant_02_A,7241,8037,8037,0
2689,3,Tenant_02_A,7329,8133,8133,0
2721,3,Tenant_02_A,7416,8229,8229,0
2753,3,Tenant_02_A,7503,8325,8325,0
2785,3,Tenant_02_A,7590,8424,8424,0
2817,3,Tenant_02_A,7678,8520,8520,0
2849,3,Tenant_02_A,7765,8616,8616,0
2881,3,Tenant_02_A,7852,8715,8715,0
2913,3,Tenant_02_A,7940,8811,8811,0
2945,3,Tenant_02_A,8027,8907,8907,0
2977,3,Tenant_02_A,8114,9003,9003,0
3009,3,Tenant_02_A,8201,9099,9099,0
3041,3,Tenant_02_A,8289,9195,9195,0
3073,3,Tenant_02_A,8376,9294,9294,0
3105,3,Tenant_02_A,8463,9390,9390,0
3137,3,Tenant_02_A,8550,9486,9486,0
3169,3,Tenant_02_A,8638,9585,9585,0
3201,3,Tenant_02_A,8725,9681,9681,0
3233,3,Tenant_02_A,8812,9777,9777,0
3265,3,Tenant_02_A,8900,9873,9873,0
3297,3,Tenant_02_A,8987,9969,9969,0
3329,3,Tenant_02_A,9074,10065,10065,0
3361,3,Tenant_02_A,9161,10155,10155,0
3393,3,Tenant_02_A,9249,10245,10245,0
3425,3,Tenant_02_A,9336,10335,10335,0
3457,3,Tenant_02_A,9423,10425,10425,0
3489,3,Tenant_02_A,9510,10515,10515,0
3521,3,Tenant_02_A,9598,10605,10605,0
3553,3,Tenant_02_A,9685,10695,10695,0
3585,3,Tenant_02_A,9772,10785,10785,0
3617,3,Tenant_02_A,9860,10875,10875,0
3649,3,Tenant_02_A,9947,10962,10962,0
