request_id,global_flow_id,size_bytes,arrival_cycle,admitted_cycle,completed_cycle,admission_delay_cycles,sojourn_cycles
1,1,48,0,1,24,1,24
5,1,48,11,13,27,2,16
3,3,48,5,6,30,1,25
2,2,48,3,4,33,1,30
4,4,48,8,9,36,1,28
9,1,48,22,23,39,1,17
6,2,48,14,15,42,1,28
7,3,48,16,18,45,2,29
13,1,48,33,35,48,2,15
10,2,48,25,26,51,1,26
8,4,48,19,20,54,1,35
17,1,48,44,46,57,2,13
11,3,48,27,29,60,2,33
14,2,48,36,38,63,2,27
18,2,48,47,48,66,1,19
12,4,48,30,32,69,2,39
21,1,48,55,56,72,1,17
22,2,48,58,59,75,1,17
15,3,48,38,39,78,1,40
25,1,48,65,66,81,1,16
16,4,48,41,42,84,1,43
26,2,48,68,69,87,1,19
19,3,48,49,51,90,2,41
29,1,48,76,77,93,1,17
30,2,48,79,80,96,1,17
20,4,48,52,53,99,1,47
23,3,48,60,62,102,2,42
33,1,48,87,89,105,2,18
34,2,48,90,92,108,2,18
24,4,48,63,65,111,2,48
27,3,48,70,72,114,2,44
37,1,48,98,100,117,2,19
38,2,48,101,102,120,1,19
28,4,48,73,74,123,1,50
41,1,48,109,110,126,1,17
42,2,48,112,113,129,1,17
31,3,48,81,83,132,2,51
32,4,48,84,86,135,2,51
45,1,48,120,122,138,2,18
46,2,48,123,125,141,2,18
35,3,48,92,93,144,1,52
36,4,48,95,96,147,1,52
49,1,48,131,133,150,2,19
50,2,48,134,135,153,1,19
39,3,48,103,105,156,2,53
53,1,48,142,143,159,1,17
54,2,48,145,146,162,1,17
40,4,48,106,107,165,1,59
43,3,48,114,116,168,2,54
57,1,48,153,155,171,2,18
58,2,48,156,158,174,2,18
44,4,48,117,119,177,2,60
47,3,48,125,126,180,1,55
61,1,48,164,166,183,2,19
62,2,48,167,168,186,1,19
48,4,48,128,129,189,1,61
65,1,48,175,176,192,1,17
66,2,48,178,179,195,1,17
51,3,48,136,138,198,2,62
69,1,48,185,186,201,1,16
52,4,48,139,140,204,1,65
70,2,48,188,189,207,1,19
55,3,48,147,149,210,2,63
73,1,48,196,197,213,1,17
74,2,48,199,200,216,1,17
56,4,48,150,152,219,2,69
59,3,48,158,159,222,1,64
77,1,48,207,209,225,2,18
78,2,48,210,212,228,2,18
60,4,48,161,162,231,1,70
63,3,48,169,171,234,2,65
81,1,48,218,220,237,2,19
82,2,48,221,222,240,1,19
64,4,48,172,173,243,1,71
85,1,48,229,230,246,1,17
86,2,48,232,233,249,1,17
67,3,48,180,182,252,2,72
68,4,48,183,185,255,2,72
89,1,48,240,242,258,2,18
90,2,48,243,245,261,2,18
71,3,48,190,192,264,2,74
72,4,48,193,194,267,1,74
93,1,48,251,253,270,2,19
94,2,48,254,255,273,1,19
75,3,48,201,203,276,2,75
97,1,48,262,263,279,1,17
98,2,48,265,266,282,1,17
76,4,48,204,206,285,2,81
79,3,48,212,213,288,1,76
101,1,48,273,275,291,2,18
102,2,48,276,278,294,2,18
80,4,48,215,216,297,1,82
83,3,48,223,225,300,2,77
105,1,48,284,286,303,2,19
106,2,48,287,288,306,1,19
84,4,48,226,227,309,1,83
109,1,48,295,296,312,1,17
110,2,48,298,299,315,1,17
87,3,48,234,236,318,2,84
113,1,48,305,306,321,1,16
88,4,48,237,239,324,2,87
114,2,48,308,309,327,1,19
91,3,48,245,246,330,1,85
117,1,48,316,317,333,1,17
118,2,48,319,320,336,1,17
92,4,48,248,249,339,1,91
95,3,48,256,258,342,2,86
121,1,48,327,329,345,2,18
122,2,48,330,332,348,2,18
96,4,48,259,260,351,1,92
99,3,48,267,269,354,2,87
125,1,48,338,340,357,2,19
126,2,48,341,342,360,1,19
100,4,48,270,272,363,2,93
129,1,48,349,350,366,1,17
130,2,48,352,353,369,1,17
103,3,48,278,279,372,1,94
104,4,48,281,282,375,1,94
133,1,48,360,362,378,2,18
134,2,48,363,365,381,2,18
107,3,48,289,291,384,2,95
108,4,48,292,293,387,1,95
137,1,48,371,373,390,2,19
138,2,48,374,375,393,1,19
111,3,48,300,302,396,2,96
141,1,48,382,383,399,1,17
142,2,48,385,386,402,1,17
112,4,48,303,305,405,2,102
115,3,48,310,312,408,2,98
145,1,48,393,395,411,2,18
146,2,48,396,398,414,2,18
116,4,48,313,314,417,1,104
119,3,48,321,323,420,2,99
149,1,48,404,406,423,2,19
150,2,48,407,408,426,1,19
120,4,48,324,326,429,2,105
153,1,48,415,416,432,1,17
154,2,48,418,419,435,1,17
123,3,48,332,333,438,1,106
157,1,48,425,426,441,1,16
124,4,48,335,336,444,1,109
158,2,48,428,429,447,1,19
127,3,48,343,345,450,2,107
161,1,48,436,437,453,1,17
