request_id,flow,flow_name,push_cycle,pop_cycle,control_pop_cycle,added_delay_cycles
707,3,Tenant_02_A,1925,3292,2118,1174
737,3,Tenant_02_A,2005,3418,2280,1138
801,3,Tenant_02_A,2180,3616,2475,1141
865,3,Tenant_02_A,2354,3814,2667,1147
929,3,Tenant_02_A,2529,4012,2859,1153
993,3,Tenant_02_A,2703,4210,3051,1159
1057,3,Tenant_02_A,2878,4408,3243,1165
1121,3,Tenant_02_A,3052,4606,3435,1171
1185,3,Tenant_02_A,3227,4804,3627,1177
1249,3,Tenant_02_A,3401,4996,3822,1174
1313,3,Tenant_02_A,3576,5188,4014,1174
1377,3,Tenant_02_A,3750,5380,4209,1171
1441,3,Tenant_02_A,3925,5572,4401,1171
1505,3,Tenant_02_A,4100,5764,4593,1171
1569,3,Tenant_02_A,4274,5956,4785,1171
1633,3,Tenant_02_A,4449,6148,4977,1171
1697,3,Tenant_02_A,4623,6340,5169,1171
1761,3,Tenant_02_A,4798,6532,5361,1171
1825,3,Tenant_02_A,4972,6724,5556,1168
1889,3,Tenant_02_A,5147,6916,5748,1168
1953,3,Tenant_02_A,5321,7108,5940,1168
2017,3,Tenant_02_A,5496,7300,6135,1165
2081,3,Tenant_02_A,5670,7492,6327,1165
2145,3,Tenant_02_A,5845,7684,6519,1165
2209,3,Tenant_02_A,6020,7876,6711,1165
2273,3,Tenant_02_A,6194,8068,6903,1165
2337,3,Tenant_02_A,6369,8260,7095,1165
2401,3,Tenant_02_A,6543,8452,7287,1165
2465,3,Tenant_02_A,6718,8644,7482,1162
2529,3,Tenant_02_A,6892,8836,7674,1162
2593,3,Tenant_02_A,7067,9028,7866,1162
2657,3,Tenant_02_A,7241,9220,8061,1159
2721,3,Tenant_02_A,7416,9412,8253,1159
2785,3,Tenant_02_A,7590,9604,8445,1159
2849,3,Tenant_02_A,7765,9796,8637,1159
2913,3,Tenant_02_A,7940,9988,8829,1159
2977,3,Tenant_02_A,8114,10180,9021,1159
3041,3,Tenant_02_A,8289,10372,9213,1159
3105,3,Tenant_02_A,8463,10564,9408,1156
3169,3,Tenant_02_A,8638,10753,9600,1153
3233,3,Tenant_02_A,8812,10939,9795,1144
3297,3,Tenant_02_A,8987,11125,9987,1138
3361,3,Tenant_02_A,9161,11311,10173,1138
3425,3,Tenant_02_A,9336,11497,10359,1138
3489,3,Tenant_02_A,9510,11683,10545,1138
3553,3,Tenant_02_A,9685,11869,10731,1138
3617,3,Tenant_02_A,9860,12055,10908,1147
