cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
2000,driver_stop,1,1,69,76,1
2017,hardware_stop,1,1,70,77,7
2050,stop_snapshot,1,1,70,89,19
2319,prefill_started,7,1,70,188,118
2390,prefill_finished,7,1,70,214,144
2390,root_detached,1,1,70,214,144
2390,root_published,7,1,70,214,144
2390,drain_watch_armed,1,1,70,214,144
2390,driver_resume,1,1,70,214,144
2391,hardware_resume,1,1,70,214,144
2748,root_detached,7,1,225,232,0
2748,root_published,4,1,226,232,0
2817,clear_engine,7,0,226,234,0
