platform,vflows,configuration,resource,used,available,utilization_percent,exceeds_capacity
quartus,1024,static,logic_alms,593124,487200,121.74137931034483,True
quartus,1024,replay,logic_alms,700490,487200,143.7787356321839,True
quartus,1024,static,m20k_equivalents,43008.03046875,7110,604.8949433016878,True
quartus,1024,replay,m20k_equivalents,69632.03046875,7110,979.3534524437412,True
vivado,1024,static,logic_luts,895303,216960,412.6580936578171,True
vivado,1024,replay,logic_luts,924216,216960,425.9845132743363,True
vivado,1024,static,registers,242862,433920,55.96930309734513,False
vivado,1024,replay,registers,243257,433920,56.060333702064895,False
vivado,1024,static,bram36_tiles,35851.0,480,7468.958333333333,True
vivado,1024,replay,bram36_tiles,51213.5,480,10669.479166666666,True
vivado,1024,static,uram288_blocks,0,64,0.0,False
vivado,1024,replay,uram288_blocks,0,64,0.0,False
vivado,1024,static,dsp_blocks,0,1824,0.0,False
vivado,1024,replay,dsp_blocks,0,1824,0.0,False
