platform,part,vflows,resource,unit,pifo_one,pifo_count,pifo_total,available,measurement_kind,count_definition,capacity_source,pifo_source,static_rio,replay_rio,static,replay,absolute_change,percent_change,percent_denominator,static_utilization_percent,replay_utilization_percent,utilization_change_percentage_points,static_source,replay_source
quartus,AGFB014R24B2E2V,32,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,32.5359375,48.575,32.5359375,48.575,16.0390625,49.29645103971569,ordinary_RIO_plus_five_matching_PIFOs,0.45760812236286924,0.6831926863572433,0.22558456399437413,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,32,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,31.0,41.0,31.0,41.0,10.0,32.25806451612903,ordinary_RIO_plus_five_matching_PIFOs,6.458333333333333,8.541666666666666,2.0833333333333335,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,64,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,136.77109375,208.86484375,136.77109375,208.86484375,72.09375,52.711247693740106,ordinary_RIO_plus_five_matching_PIFOs,1.9236440752461321,2.9376208684950775,1.0139767932489452,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,64,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,121.0,161.0,121.0,161.0,40.0,33.05785123966942,ordinary_RIO_plus_five_matching_PIFOs,25.208333333333332,33.541666666666664,8.333333333333334,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,128,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,577.2171875,897.4359375,577.2171875,897.4359375,320.21875,55.47630197688803,ordinary_RIO_plus_five_matching_PIFOs,8.118385196905766,12.622165084388186,4.503779887482419,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,128,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,501.0,681.0,501.0,681.0,180.0,35.92814371257485,ordinary_RIO_plus_five_matching_PIFOs,104.375,141.875,37.5,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,256,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,2434.10078125,3842.60078125,2434.10078125,3842.60078125,1408.5,57.86531152899444,ordinary_RIO_plus_five_matching_PIFOs,34.23489143811533,54.04501802039381,19.810126582278482,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,256,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,2083.5,2883.5,2083.5,2883.5,800.0,38.39692824574034,ordinary_RIO_plus_five_matching_PIFOs,434.0625,600.7291666666666,166.66666666666666,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,512,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,10240.028125,16384.028125,10240.028125,16384.028125,6144.0,59.999835205530744,ordinary_RIO_plus_five_matching_PIFOs,144.02289908579468,230.4364011954993,86.41350210970464,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,512,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,8648.5,12171.0,8648.5,12171.0,3522.5,40.72960629010811,ordinary_RIO_plus_five_matching_PIFOs,1801.7708333333333,2535.625,733.8541666666666,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
