platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind
quartus,32,logic_alms,ALMs,2209,3267,50064,5,250320,252529,253587,1058,0.4189617826071461,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,logic_aluts,ALUTs,2497,4331,61965,5,309825,312322,314156,1834,0.5872144773663078,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,registers,bits,1641,3190,21550,5,107750,109391,110940,1549,1.4160214277225731,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,block_memory_bits,bits,666336,994816,0,5,0,666336,994816,328480,49.2964510397157,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,mlab_memory_bits,bits,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,32,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,logic_luts,LUTs,3774,4178,96714,5,483570,487344,487748,404,0.08289832233494206,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,registers,bits,2307,2396,21617,5,108085,110392,110481,89,0.08062178418725995,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,bram36_tiles,tiles,31.0,41.0,0.0,5,0.0,31.0,41.0,10.0,32.25806451612903,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,uram288_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,bram_uram_allocated_bits,bits,1142784,1511424,0,5,0,1142784,1511424,368640,32.25806451612903,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,lutram_luts,LUTs,508,528,0,5,0,508,528,20,3.937007874015748,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,32,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,64,logic_alms,ALMs,1618,4696,50341,5,251705,253323,256401,3078,1.2150495612321028,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,64,logic_aluts,ALUTs,3545,7202,71335,5,356675,360220,363877,3657,1.0152129254344566,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,64,registers,bits,2059,5378,23602,5,118010,120069,123388,3319,2.764243893094804,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,64,block_memory_bits,bits,2801072,4277552,0,5,0,2801072,4277552,1476480,52.71124769374011,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,64,mlab_memory_bits,bits,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
quartus,64,dsp_blocks,blocks,0,0,0,5,0,0,0,0,,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,64,logic_luts,LUTs,5074,6880,103261,5,516305,521379,523185,1806,0.3463890950728741,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
vivado,64,registers,bits,3443,4513,23656,5,118280,121723,122793,1070,0.8790450448970203,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components
