platform,vflows,configuration,resource,used,available,utilization_percent,exceeds_capacity
quartus,32,static,logic_alms,252529,487200,51.83271756978654,False
quartus,32,replay,logic_alms,253587,487200,52.04987684729064,False
quartus,32,static,m20k_equivalents,32.5359375,7110,0.45760812236286924,False
quartus,32,replay,m20k_equivalents,48.575,7110,0.6831926863572433,False
vivado,32,static,logic_luts,487344,216960,224.62389380530973,True
vivado,32,replay,logic_luts,487748,216960,224.81010324483776,True
vivado,32,static,registers,110392,433920,25.440634218289084,False
vivado,32,replay,registers,110481,433920,25.461144911504423,False
vivado,32,static,bram36_tiles,31.0,480,6.458333333333333,False
vivado,32,replay,bram36_tiles,41.0,480,8.541666666666666,False
vivado,32,static,uram288_blocks,0,64,0.0,False
vivado,32,replay,uram288_blocks,0,64,0.0,False
vivado,32,static,dsp_blocks,0,1824,0.0,False
vivado,32,replay,dsp_blocks,0,1824,0.0,False
quartus,64,static,logic_alms,253323,487200,51.99568965517241,False
quartus,64,replay,logic_alms,256401,487200,52.62746305418719,False
quartus,64,static,m20k_equivalents,136.77109375,7110,1.9236440752461321,False
quartus,64,replay,m20k_equivalents,208.86484375,7110,2.9376208684950775,False
vivado,64,static,logic_luts,521379,216960,240.31111725663717,True
vivado,64,replay,logic_luts,523185,216960,241.14352876106196,True
vivado,64,static,registers,121723,433920,28.05194505899705,False
vivado,64,replay,registers,122793,433920,28.2985342920354,False
vivado,64,static,bram36_tiles,121.0,480,25.208333333333332,False
vivado,64,replay,bram36_tiles,161.0,480,33.541666666666664,False
vivado,64,static,uram288_blocks,0,64,0.0,False
vivado,64,replay,uram288_blocks,0,64,0.0,False
vivado,64,static,dsp_blocks,0,1824,0.0,False
vivado,64,replay,dsp_blocks,0,1824,0.0,False
quartus,128,static,logic_alms,271846,487200,55.79761904761905,False
quartus,128,replay,logic_alms,276840,487200,56.82266009852217,False
quartus,128,static,m20k_equivalents,577.2171875,7110,8.118385196905766,False
quartus,128,replay,m20k_equivalents,897.4359375,7110,12.622165084388186,False
vivado,128,static,logic_luts,551008,216960,253.96755162241888,True
vivado,128,replay,logic_luts,556065,216960,256.29839601769913,True
vivado,128,static,registers,135609,433920,31.25207411504425,False
vivado,128,replay,registers,137619,433920,31.71529314159292,False
vivado,128,static,bram36_tiles,501.0,480,104.375,True
vivado,128,replay,bram36_tiles,681.0,480,141.875,True
vivado,128,static,uram288_blocks,0,64,0.0,False
vivado,128,replay,uram288_blocks,0,64,0.0,False
vivado,128,static,dsp_blocks,0,1824,0.0,False
vivado,128,replay,dsp_blocks,0,1824,0.0,False
quartus,256,static,logic_alms,293000,487200,60.139573070607554,False
quartus,256,replay,logic_alms,310919,487200,63.81752873563219,False
quartus,256,static,m20k_equivalents,2434.10078125,7110,34.23489143811533,False
quartus,256,replay,m20k_equivalents,3842.60078125,7110,54.04501802039381,False
vivado,256,static,logic_luts,611476,216960,281.8381268436578,True
vivado,256,replay,logic_luts,613506,216960,282.7737831858407,True
vivado,256,static,registers,157445,433920,36.28433812684366,False
vivado,256,replay,registers,157590,433920,36.31775442477876,False
vivado,256,static,bram36_tiles,2083.5,480,434.0625,True
vivado,256,replay,bram36_tiles,2883.5,480,600.7291666666666,True
vivado,256,static,uram288_blocks,0,64,0.0,False
vivado,256,replay,uram288_blocks,0,64,0.0,False
vivado,256,static,dsp_blocks,0,1824,0.0,False
vivado,256,replay,dsp_blocks,0,1824,0.0,False
quartus,512,static,logic_alms,386215,487200,79.27237274220033,False
quartus,512,replay,logic_alms,425241,487200,87.2826354679803,False
quartus,512,static,m20k_equivalents,10240.028125,7110,144.02289908579468,True
quartus,512,replay,m20k_equivalents,16384.028125,7110,230.4364011954993,True
vivado,512,static,logic_luts,675435,216960,311.31775442477874,True
vivado,512,replay,logic_luts,685429,216960,315.92413348082596,True
vivado,512,static,registers,188271,433920,43.38841261061947,False
vivado,512,replay,registers,188446,433920,43.428742625368734,False
vivado,512,static,bram36_tiles,8648.5,480,1801.7708333333333,True
vivado,512,replay,bram36_tiles,12171.0,480,2535.625,True
vivado,512,static,uram288_blocks,0,64,0.0,False
vivado,512,replay,uram288_blocks,0,64,0.0,False
vivado,512,static,dsp_blocks,0,1824,0.0,False
vivado,512,replay,dsp_blocks,0,1824,0.0,False
quartus,1024,static,logic_alms,593124,487200,121.74137931034483,True
quartus,1024,replay,logic_alms,700490,487200,143.7787356321839,True
quartus,1024,static,m20k_equivalents,43008.03046875,7110,604.8949433016878,True
quartus,1024,replay,m20k_equivalents,69632.03046875,7110,979.3534524437412,True
vivado,1024,static,logic_luts,895303,216960,412.6580936578171,True
vivado,1024,replay,logic_luts,924216,216960,425.9845132743363,True
vivado,1024,static,registers,242862,433920,55.96930309734513,False
vivado,1024,replay,registers,243257,433920,56.060333702064895,False
vivado,1024,static,bram36_tiles,35851.0,480,7468.958333333333,True
vivado,1024,replay,bram36_tiles,51213.5,480,10669.479166666666,True
vivado,1024,static,uram288_blocks,0,64,0.0,False
vivado,1024,replay,uram288_blocks,0,64,0.0,False
vivado,1024,static,dsp_blocks,0,1824,0.0,False
vivado,1024,replay,dsp_blocks,0,1824,0.0,False
