platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind,part,available,count_definition,capacity_source,pifo_source,static_utilization_percent,replay_utilization_percent,utilization_change_percentage_points,static_source,replay_source
quartus,32,logic_alms,ALMs,2209,3267,50064,5,250320,252529,253587,1058,0.4189617826071461,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,64,logic_alms,ALMs,1618,4696,50341,5,251705,253323,256401,3078,1.2150495612321028,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,128,logic_alms,ALMs,5861,10855,53197,5,265985,271846,276840,4994,1.8370695173002363,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,256,logic_alms,ALMs,15260,33179,55548,5,277740,293000,310919,17919,6.115699658703072,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,512,logic_alms,ALMs,103640,142666,56515,5,282575,386215,425241,39026,10.104734409590513,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,1024,logic_alms,ALMs,301224,408590,58380,5,291900,593124,700490,107366,18.101779729027996,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,32,registers,bits,1641,3190,21550,5,107750,109391,110940,1549,1.4160214277225731,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,64,registers,bits,2059,5378,23602,5,118010,120069,123388,3319,2.764243893094804,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,128,registers,bits,2797,9972,25654,5,128270,131067,138242,7175,5.474299404121556,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,256,registers,bits,4175,19680,27706,5,138530,142705,158210,15505,10.865071300935496,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,512,registers,bits,86111,142631,29758,5,148790,234901,291421,56520,24.06120025031822,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,1024,registers,bits,166345,289435,31810,5,159050,325395,448485,123090,37.827870741713916,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
quartus,32,m20k_equivalents,M20K equivalents,32.5359375,48.575,0.0,5,0.0,32.5359375,48.575,16.0390625,49.29645103971569,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,0.45760812236286924,0.6831926863572433,0.22558456399437413,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,64,m20k_equivalents,M20K equivalents,136.77109375,208.86484375,0.0,5,0.0,136.77109375,208.86484375,72.09375,52.711247693740106,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,1.9236440752461321,2.9376208684950775,1.0139767932489452,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json
quartus,128,m20k_equivalents,M20K equivalents,577.2171875,897.4359375,0.0,5,0.0,577.2171875,897.4359375,320.21875,55.47630197688803,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,8.118385196905766,12.622165084388186,4.503779887482419,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json
quartus,256,m20k_equivalents,M20K equivalents,2434.10078125,3842.60078125,0.0,5,0.0,2434.10078125,3842.60078125,1408.5,57.86531152899444,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,34.23489143811533,54.04501802039381,19.810126582278482,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json
quartus,512,m20k_equivalents,M20K equivalents,10240.028125,16384.028125,0.0,5,0.0,10240.028125,16384.028125,6144.0,59.999835205530744,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,144.02289908579468,230.4364011954993,86.41350210970464,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
quartus,1024,m20k_equivalents,M20K equivalents,43008.03046875,69632.03046875,0.0,5,0.0,43008.03046875,69632.03046875,26624.0,61.90471804874958,ordinary_RIO_plus_five_matching_PIFOs,inferred_ram_bit_capacity_equivalent,AGFB014R24B2E2V,7110,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,604.8949433016878,979.3534524437412,374.45850914205346,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
vivado,32,logic_luts,LUTs,3774,4178,96714,5,483570,487344,487748,404,0.08289832233494206,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,64,logic_luts,LUTs,5074,6880,103261,5,516305,521379,523185,1806,0.3463890950728741,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
vivado,128,logic_luts,LUTs,9318,14375,108338,5,541690,551008,556065,5057,0.9177725187293106,ordinary_RIO_plus_five_matching_PIFOs,sum_of_synthesized_components,,,,,,,,,,
