platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
quartus,32,static,registers,bits,109391,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,1641,21550,5,107750,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,registers,bits,110940,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,3190,21550,5,107750,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,32,static,registers,bits,110392,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json,2307,21617,5,108085,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,registers,bits,110481,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json,2396,21617,5,108085,../runs/pifo-house-v32-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,64,static,registers,bits,120069,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json,2059,23602,5,118010,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,registers,bits,123388,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json,5378,23602,5,118010,../runs/pifo-house-v64-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,64,static,registers,bits,121723,../runs/pe5-v64-c1024-q256-static-vivado/resource-summary.json,3443,23656,5,118280,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,registers,bits,122793,../runs/pe5-v64-c1024-q256-replay-vivado/resource-summary.json,4513,23656,5,118280,../runs/pifo-house-v64-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,128,static,registers,bits,131067,../runs/pe5-v128-c1024-q256-static-quartus/resource-summary.json,2797,25654,5,128270,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,registers,bits,138242,../runs/pe5-v128-c1024-q256-replay-quartus/resource-summary.json,9972,25654,5,128270,../runs/pifo-house-v128-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,128,static,registers,bits,135609,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,7049,25712,5,128560,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,registers,bits,137619,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,9059,25712,5,128560,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,256,static,registers,bits,142705,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json,4175,27706,5,138530,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,registers,bits,158210,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json,19680,27706,5,138530,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,256,static,registers,bits,157445,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,18700,27749,5,138745,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,registers,bits,157590,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json,18845,27749,5,138745,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,512,static,registers,bits,234901,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,86111,29758,5,148790,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,registers,bits,291421,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,142631,29758,5,148790,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,512,static,registers,bits,188271,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,39206,29813,5,149065,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,registers,bits,188446,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,39381,29813,5,149065,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,1024,static,registers,bits,325395,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json,166345,31810,5,159050,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,1024,replay,registers,bits,448485,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json,289435,31810,5,159050,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,1024,static,registers,bits,242862,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json,83592,31854,5,159270,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,1024,replay,registers,bits,243257,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json,83987,31854,5,159270,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,sum_of_synthesized_components
