platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
quartus,32,static,logic_alms,ALMs,252529,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,2209,50064,5,250320,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,logic_alms,ALMs,253587,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,3267,50064,5,250320,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,logic_aluts,ALUTs,312322,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,2497,61965,5,309825,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,logic_aluts,ALUTs,314156,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,4331,61965,5,309825,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,registers,bits,109391,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,1641,21550,5,107750,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,registers,bits,110940,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,3190,21550,5,107750,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,block_memory_bits,bits,666336,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,666336,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,block_memory_bits,bits,994816,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,994816,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,mlab_memory_bits,bits,0,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,mlab_memory_bits,bits,0,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,static,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,32,replay,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v32-c1024-quartus/resource-summary.json,sum_of_synthesized_components
