platform,vflows,configuration,resource,unit,value,source
quartus,32,static,logic_alms,ALMs,2209,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,logic_alms,ALMs,3267,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,logic_aluts,ALUTs,2497,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,logic_aluts,ALUTs,4331,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,registers,bits,1641,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,registers,bits,3190,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,block_memory_bits,bits,666336,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,bits,994816,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,mlab_memory_bits,bits,0,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,mlab_memory_bits,bits,0,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
quartus,32,static,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-quartus/resource-summary.json
quartus,32,replay,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-quartus/resource-summary.json
vivado,32,static,logic_luts,LUTs,3774,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,logic_luts,LUTs,4178,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,registers,bits,2307,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,registers,bits,2396,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,bram36_tiles,tiles,31.0,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,bram36_tiles,tiles,41.0,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,uram288_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,bits,1142784,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,bits,1511424,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,lutram_luts,LUTs,508,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,lutram_luts,LUTs,528,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
vivado,32,static,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-static-vivado/resource-summary.json
vivado,32,replay,dsp_blocks,blocks,0,../runs/pe5-v32-c1024-q256-replay-vivado/resource-summary.json
quartus,64,static,logic_alms,ALMs,1618,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json
quartus,64,replay,logic_alms,ALMs,4696,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json
quartus,64,static,logic_aluts,ALUTs,3545,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json
quartus,64,replay,logic_aluts,ALUTs,7202,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json
quartus,64,static,registers,bits,2059,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json
quartus,64,replay,registers,bits,5378,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json
quartus,64,static,block_memory_bits,bits,2801072,../runs/pe5-v64-c1024-q256-static-quartus/resource-summary.json
quartus,64,replay,block_memory_bits,bits,4277552,../runs/pe5-v64-c1024-q256-replay-quartus/resource-summary.json
