part	device	family
xcvu065-ffvc1517-1-i	xcvu065	virtexu
xcvu065-ffvc1517-1H-e	xcvu065	virtexu
xcvu065-ffvc1517-1HV-e	xcvu065	virtexu
xcvu065-ffvc1517-2-e	xcvu065	virtexu
xcvu065-ffvc1517-2-i	xcvu065	virtexu
xcvu065-ffvc1517-3-e	xcvu065	virtexu
xcvu065_CIV-ffvc1517-1-i	xcvu065_CIV	virtexu
xcvu065_CIV-ffvc1517-1H-e	xcvu065_CIV	virtexu
xcvu065_CIV-ffvc1517-1HV-e	xcvu065_CIV	virtexu
xcvu065_CIV-ffvc1517-2-e	xcvu065_CIV	virtexu
xcvu065_CIV-ffvc1517-2-i	xcvu065_CIV	virtexu
xcvu065_CIV-ffvc1517-3-e	xcvu065_CIV	virtexu
xcvu080-ffva2104-1-i	xcvu080	virtexu
xcvu080-ffva2104-1H-e	xcvu080	virtexu
xcvu080-ffva2104-1HV-e	xcvu080	virtexu
xcvu080-ffva2104-2-e	xcvu080	virtexu
xcvu080-ffva2104-2-i	xcvu080	virtexu
xcvu080-ffva2104-3-e	xcvu080	virtexu
xcvu080-ffvb1760-1-i	xcvu080	virtexu
xcvu080-ffvb1760-1H-e	xcvu080	virtexu
xcvu080-ffvb1760-1HV-e	xcvu080	virtexu
xcvu080-ffvb1760-2-e	xcvu080	virtexu
xcvu080-ffvb1760-2-i	xcvu080	virtexu
xcvu080-ffvb1760-3-e	xcvu080	virtexu
xcvu080-ffvb2104-1-i	xcvu080	virtexu
xcvu080-ffvb2104-1H-e	xcvu080	virtexu
xcvu080-ffvb2104-1HV-e	xcvu080	virtexu
xcvu080-ffvb2104-2-e	xcvu080	virtexu
xcvu080-ffvb2104-2-i	xcvu080	virtexu
xcvu080-ffvb2104-3-e	xcvu080	virtexu
xcvu080-ffvc1517-1-i	xcvu080	virtexu
xcvu080-ffvc1517-1H-e	xcvu080	virtexu
xcvu080-ffvc1517-1HV-e	xcvu080	virtexu
xcvu080-ffvc1517-2-e	xcvu080	virtexu
xcvu080-ffvc1517-2-i	xcvu080	virtexu
xcvu080-ffvc1517-3-e	xcvu080	virtexu
xcvu080-ffvd1517-1-i	xcvu080	virtexu
xcvu080-ffvd1517-1H-e	xcvu080	virtexu
xcvu080-ffvd1517-1HV-e	xcvu080	virtexu
xcvu080-ffvd1517-2-e	xcvu080	virtexu
xcvu080-ffvd1517-2-i	xcvu080	virtexu
xcvu080-ffvd1517-3-e	xcvu080	virtexu
xcvu080_CIV-ffva2104-1-i	xcvu080_CIV	virtexu
xcvu080_CIV-ffva2104-1H-e	xcvu080_CIV	virtexu
xcvu080_CIV-ffva2104-1HV-e	xcvu080_CIV	virtexu
xcvu080_CIV-ffva2104-2-e	xcvu080_CIV	virtexu
xcvu080_CIV-ffva2104-2-i	xcvu080_CIV	virtexu
xcvu080_CIV-ffva2104-3-e	xcvu080_CIV	virtexu
xcvu080_CIV-ffvb1760-1-i	xcvu080_CIV	virtexu
